battle_league_npc_deck_id,group_place_order,monster_id,character,skill_type,level,attack_lv,special_attack_lv,magic_lv,accessory_id1,accessory_lv1,accessory_id2,accessory_lv2
22,2,109010,1,1,14,10,1,10,300007,10,0,0
22,3,110000,3,1,14,10,1,10,300007,10,0,0
23,1,111000,1,1,14,10,1,10,300007,10,0,0
23,2,372000,1,2,14,10,1,10,300007,10,0,0
23,3,101000,1,0,10,1,1,1,300001,1,0,0
24,1,102000,3,0,12,1,1,1,0,0,0,0
24,2,102010,8,0,14,5,1,10,300007,10,0,0
24,3,103000,1,0,14,5,1,10,300007,10,0,0
25,1,104000,2,0,14,5,1,10,300007,10,0,0
25,2,104010,4,0,14,5,1,10,300007,10,0,0
25,3,105000,1,1,14,5,1,10,300007,10,0,0
26,1,105010,6,1,14,5,1,10,300007,10,0,0
26,2,106000,1,1,14,5,1,10,300007,10,0,0
26,3,107000,1,1,14,5,1,10,300007,10,0,0
27,1,107010,7,1,14,5,1,10,300007,10,0,0
27,2,108000,1,1,14,10,1,10,300007,10,0,0
27,3,109000,2,1,14,10,1,10,300007,10,0,0
28,1,109010,1,1,14,10,1,10,300007,10,0,0
28,2,110000,3,1,14,10,1,10,300007,10,0,0
28,3,111000,1,1,14,10,1,10,300007,10,0,0
29,1,372000,1,2,14,10,1,10,300007,10,0,0
29,2,101000,1,0,10,1,1,1,300001,1,0,0
29,3,102000,3,0,12,1,1,1,0,0,0,0
30,1,102010,8,0,14,5,1,10,300007,10,0,0
30,2,103000,1,0,14,5,1,10,300007,10,0,0
30,3,104000,2,0,14,5,1,10,300007,10,0,0
31,1,104010,4,0,14,5,1,10,300007,10,0,0
31,2,105000,1,1,14,5,1,10,300007,10,0,0
31,3,105010,6,1,14,5,1,10,300007,10,0,0
32,1,106000,1,1,14,5,1,10,300007,10,0,0
32,2,107000,1,1,14,5,1,10,300007,10,0,0
32,3,107010,7,1,14,5,1,10,300007,10,0,0
33,1,108000,1,1,14,10,1,10,300007,10,0,0
33,2,109000,2,1,14,10,1,10,300007,10,0,0
33,3,109010,1,1,14,10,1,10,300007,10,0,0
34,1,110000,3,1,14,10,1,10,300007,10,0,0
34,2,111000,1,1,14,10,1,10,300007,10,0,0
34,3,372000,1,2,14,10,1,10,300007,10,0,0
35,1,101000,1,0,10,1,1,1,300001,1,0,0
35,2,102000,3,0,12,1,1,1,0,0,0,0
35,3,102010,8,0,14,5,1,10,300007,10,0,0
36,1,103000,1,0,14,5,1,10,300007,10,0,0
36,2,104000,2,0,14,5,1,10,300007,10,0,0
36,3,104010,4,0,14,5,1,10,300007,10,0,0
37,1,105000,1,1,14,5,1,10,300007,10,0,0
37,2,105010,6,1,14,5,1,10,300007,10,0,0
37,3,106000,1,1,14,5,1,10,300007,10,0,0
38,1,107000,1,1,14,5,1,10,300007,10,0,0
38,2,107010,7,1,14,5,1,10,300007,10,0,0
38,3,108000,1,1,14,10,1,10,300007,10,0,0
39,1,109000,2,1,14,10,1,10,300007,10,0,0
39,2,109010,1,1,14,10,1,10,300007,10,0,0
39,3,110000,3,1,14,10,1,10,300007,10,0,0
40,1,111000,1,1,14,10,1,10,300007,10,0,0
40,2,372000,1,2,14,10,1,10,300007,10,0,0
40,3,101000,1,0,10,1,1,1,300001,1,0,0
41,1,102000,3,0,12,1,1,1,0,0,0,0
41,2,102010,8,0,14,5,1,10,300007,10,0,0
41,3,103000,1,0,14,5,1,10,300007,10,0,0
42,1,104000,2,0,14,5,1,10,300007,10,0,0
42,2,104010,4,0,14,5,1,10,300007,10,0,0
42,3,105000,1,1,14,5,1,10,300007,10,0,0
43,1,105010,6,1,14,5,1,10,300007,10,0,0
43,2,106000,1,1,14,5,1,10,300007,10,0,0
43,3,107000,1,1,14,5,1,10,300007,10,0,0
44,1,107010,7,1,14,5,1,10,300007,10,0,0
44,2,108000,1,1,14,10,1,10,300007,10,0,0
44,3,109000,2,1,14,10,1,10,300007,10,0,0
45,1,109010,1,1,14,10,1,10,300007,10,0,0
45,2,110000,3,1,14,10,1,10,300007,10,0,0
45,3,111000,1,1,14,10,1,10,300007,10,0,0
46,1,372000,1,2,14,10,1,10,300007,10,0,0
46,2,101000,1,0,10,1,1,1,300001,1,0,0
46,3,102000,3,0,12,1,1,1,0,0,0,0
47,1,102010,8,0,14,5,1,10,300007,10,0,0
47,2,103000,1,0,14,5,1,10,300007,10,0,0
47,3,104000,2,0,14,5,1,10,300007,10,0,0
48,1,104010,4,0,14,5,1,10,300007,10,0,0
48,2,105000,1,1,14,5,1,10,300007,10,0,0
48,3,105010,6,1,14,5,1,10,300007,10,0,0
49,1,106000,1,1,14,5,1,10,300007,10,0,0
49,2,107000,1,1,14,5,1,10,300007,10,0,0
49,3,107010,7,1,14,5,1,10,300007,10,0,0
50,1,108000,1,1,14,10,1,10,300007,10,0,0
50,2,109000,2,1,14,10,1,10,300007,10,0,0
50,3,109010,1,1,14,10,1,10,300007,10,0,0
51,1,110000,3,1,14,10,1,10,300007,10,0,0
51,2,111000,1,1,14,10,1,10,300007,10,0,0
51,3,372000,1,2,14,10,1,10,300007,10,0,0
52,1,101000,1,0,10,1,1,1,300001,1,0,0
52,2,102000,3,0,12,1,1,1,0,0,0,0
52,3,102010,8,0,14,5,1,10,300007,10,0,0
53,1,103000,1,0,14,5,1,10,300007,10,0,0
53,2,104000,2,0,14,5,1,10,300007,10,0,0
53,3,104010,4,0,14,5,1,10,300007,10,0,0
54,1,105000,1,1,14,5,1,10,300007,10,0,0
54,2,105010,6,1,14,5,1,10,300007,10,0,0
54,3,106000,1,1,14,5,1,10,300007,10,0,0
55,1,107000,1,1,14,5,1,10,300007,10,0,0
55,2,107010,7,1,14,5,1,10,300007,10,0,0
55,3,108000,1,1,14,10,1,10,300007,10,0,0
56,1,109000,2,1,14,10,1,10,300007,10,0,0
56,2,109010,1,1,14,10,1,10,300007,10,0,0
56,3,110000,3,1,14,10,1,10,300007,10,0,0
57,1,111000,1,1,14,10,1,10,300007,10,0,0
57,2,372000,1,2,14,10,1,10,300007,10,0,0
57,3,101000,1,0,10,1,1,1,300001,1,0,0
58,1,102000,3,0,12,1,1,1,0,0,0,0
58,2,102010,8,0,14,5,1,10,300007,10,0,0
58,3,103000,1,0,14,5,1,10,300007,10,0,0
59,1,104000,2,0,14,5,1,10,300007,10,0,0
59,2,104010,4,0,14,5,1,10,300007,10,0,0
59,3,105000,1,1,14,5,1,10,300007,10,0,0
60,1,105010,6,1,14,5,1,10,300007,10,0,0
60,2,106000,1,1,14,5,1,10,300007,10,0,0
60,3,107000,1,1,14,5,1,10,300007,10,0,0
61,1,107010,7,1,14,5,1,10,300007,10,0,0
61,2,108000,1,1,14,10,1,10,300007,10,0,0
61,3,109000,2,1,14,10,1,10,300007,10,0,0
62,1,109010,1,1,14,10,1,10,300007,10,0,0
62,2,110000,3,1,14,10,1,10,300007,10,0,0
62,3,111000,1,1,14,10,1,10,300007,10,0,0
63,1,372000,1,2,14,10,1,10,300007,10,0,0
63,2,101000,1,0,10,1,1,1,300001,1,0,0
63,3,102000,3,0,12,1,1,1,0,0,0,0
64,1,102010,8,0,14,5,1,10,300007,10,0,0
64,2,103000,1,0,14,5,1,10,300007,10,0,0
64,3,104000,2,0,14,5,1,10,300007,10,0,0
65,1,104010,4,0,14,5,1,10,300007,10,0,0
65,2,105000,1,1,14,5,1,10,300007,10,0,0
65,3,105010,6,1,14,5,1,10,300007,10,0,0
66,1,106000,1,1,14,5,1,10,300007,10,0,0
66,2,107000,1,1,14,5,1,10,300007,10,0,0
66,3,107010,7,1,14,5,1,10,300007,10,0,0
67,1,108000,1,1,14,10,1,10,300007,10,0,0
67,2,109000,2,1,14,10,1,10,300007,10,0,0
67,3,109010,1,1,14,10,1,10,300007,10,0,0
68,1,110000,3,1,14,10,1,10,300007,10,0,0
68,2,111000,1,1,14,10,1,10,300007,10,0,0
68,3,372000,1,2,14,10,1,10,300007,10,0,0
69,1,101000,1,0,10,1,1,1,300001,1,0,0
69,2,102000,3,0,12,1,1,1,0,0,0,0
69,3,102010,8,0,14,5,1,10,300007,10,0,0
70,1,103000,1,0,14,5,1,10,300007,10,0,0
70,2,104000,2,0,14,5,1,10,300007,10,0,0
70,3,104010,4,0,14,5,1,10,300007,10,0,0
71,1,105000,1,1,14,5,1,10,300007,10,0,0
71,2,105010,6,1,14,5,1,10,300007,10,0,0
71,3,106000,1,1,14,5,1,10,300007,10,0,0
72,1,107000,1,1,14,5,1,10,300007,10,0,0
72,2,107010,7,1,14,5,1,10,300007,10,0,0
72,3,108000,1,1,14,10,1,10,300007,10,0,0
