id,name,gacha_id,lot_group,play_time,sub_lot_group,sub_lot_play_time,pay_type,coin_id,price,limit_type,limit_time,reward_deal_id
550008,期間限定スーパーピックアップガシャ 10連,500004,18081001,9,18081002,1,2,0,50,0,0,0
550009,トコナツ ピックアップ 妖怪ガシャ 1連,500005,18081301,1,0,0,2,0,5,0,0,0
550010,トコナツ ピックアップ 妖怪ガシャ 10連,500005,18081301,9,18081302,1,2,0,50,0,0,0
550011,お月見 ピックアップ 妖怪ガシャ 1連,500006,18082702,1,0,0,2,0,5,0,0,0
550012,お月見 ピックアップ 妖怪ガシャ 10連,500006,18082702,9,18082703,1,2,0,50,0,0,0
550013,秋の夜長のウスラカゲ族 ピックアップ 妖怪ガシャ1～9連,500007,18091001,1,0,0,2,0,5,0,0,0
550014,秋の夜長のウスラカゲ族 ピックアップ 妖怪ガシャ10連目,500007,18091001,9,18091002,1,2,0,50,0,0,0
550015,秋の紅葉祭り 妖怪ガシャ 1連,500008,18092501,1,0,0,2,0,5,0,0,0
550016,秋の紅葉祭り 妖怪ガシャ 10連,500008,18092501,9,18092502,1,2,0,50,0,0,0
550017,期間限定スーパーピックアップガシャ 1連,500009,18092901,1,0,0,2,0,5,0,0,0
550018,期間限定スーパーピックアップガシャ 10連,500009,18092901,9,18092902,1,2,0,50,0,0,0
550019,燃える妖魂 妖怪ガシャ 1連,500010,18100901,1,0,0,2,0,5,0,0,0
550020,燃える妖魂 妖怪ガシャ 10連,500010,18100901,9,18100902,1,2,0,50,0,0,0
550021,ハロウィンパーティー 妖怪ガシャ 1連,500011,18102201,1,0,0,2,0,5,0,0,0
550022,ハロウィンパーティー 妖怪ガシャ 10連,500011,18102201,9,18102202,1,2,0,50,0,0,0
550023,期間限定スーパーピックアップガシャ 1連,500012,18092901,1,0,0,2,0,5,0,0,0
550024,期間限定スーパーピックアップガシャ 10連,500012,18092901,9,18092902,1,2,0,50,0,0,0
550025,フシギの旅 妖怪ガシャ 1連,500013,18110501,1,0,0,2,0,5,0,0,0
550026,フシギの旅 妖怪ガシャ 10連,500013,18110501,9,18110502,1,2,0,50,0,0,0
550027,寝間着でゆったり 妖怪ガシャ 1連,500014,18111901,1,0,0,2,0,5,0,0,0
550028,寝間着でゆったり 妖怪ガシャ 10連,500014,18111901,9,18111902,1,2,0,50,0,0,0
550029,期間限定スーパーピックアップガシャ 1連,500015,18112901,1,0,0,2,0,5,0,0,0
550030,期間限定スーパーピックアップガシャ 10連,500015,18112901,9,18112902,1,2,0,50,0,0,0
550031,魅惑のクリスマス 妖怪ガシャ 1連,500016,18120301,1,0,0,2,0,5,0,0,0
550032,魅惑のクリスマス 妖怪ガシャ 10連,500016,18120301,9,18120302,1,2,0,50,0,0,0
550033,映画公開記念ガシャ 1連,500017,18121401,1,0,0,2,0,5,0,0,0
550034,映画公開記念ガシャ 10連,500017,18121401,9,18121402,1,2,0,50,0,0,0
550035,ゆく年くる年 晴れ着 妖怪ガシャ 前半 1連,500018,18122601,1,0,0,2,0,5,0,0,0
550036,ゆく年くる年 晴れ着 妖怪ガシャ 前半 10連,500018,18122601,9,18122602,1,2,0,50,0,0,0
550037,ゆく年くる年 晴れ着 妖怪ガシャ 後半 1連,500019,19010701,1,0,0,2,0,5,0,0,0
550038,ゆく年くる年 晴れ着 妖怪ガシャ 後半 10連,500019,19010701,9,19010702,1,2,0,50,0,0,0
550039,期間限定スーパーピックアップガシャ 1連,500020,19010101,1,0,0,2,0,5,0,0,0
550040,期間限定スーパーピックアップガシャ 10連,500020,19010101,9,19010102,1,2,0,50,0,0,0
550041,幻の雪山の宿 妖怪ガシャ 1連,500021,19011501,1,0,0,2,0,5,0,0,0
550042,幻の雪山の宿 妖怪ガシャ 10連,500021,19011501,9,19011502,1,2,0,50,0,0,0
550043,期間限定スーパーピックアップガシャ 1連,500022,19013101,1,0,0,2,0,5,0,0,0
550044,期間限定スーパーピックアップガシャ 10連,500022,19013101,9,19013102,1,2,0,50,0,0,0
550045,ドキドキ！バレンタイン 妖怪ガシャ 1連,500023,19020405,1,0,0,2,0,5,0,0,0
550046,ドキドキ！バレンタイン 妖怪ガシャ 10連,500023,19020405,9,19020406,1,2,0,50,0,0,0
