id,pref_id,rate,name,description
600072,18,1000,若狭塗,ダミー
600073,19,1000,山梨のほうとう,ダミー
600074,19,1000,甲府鳥もつ煮,ダミー
600075,19,1000,身延饅頭,ダミー
600076,19,1000,鬼面瓦,ダミー
600077,20,1000,信州そば,ダミー
600078,20,1000,おやき,ダミー
600079,20,1000,野沢菜漬け,ダミー
600080,20,1000,ねこつぐら,ダミー
600081,21,1000,岐阜のくりきんとん,ダミー
600082,21,1000,五平餅,ダミー
600083,21,1000,鮎の一夜干し,ダミー
600084,21,1000,さるぼぼ,ダミー
600085,22,1000,お茶,ダミー
600086,22,1000,わさび,ダミー
600087,22,1000,桜えび,ダミー
600088,22,1000,駿河竹千筋細工,ダミー
600089,23,1000,名古屋のミソカツ,ダミー
600090,23,1000,ひつまぶし,ダミー
600091,23,1000,手羽先,ダミー
600092,23,1000,尾張七宝,ダミー
600093,24,1000,いせエビ,ダミー
600094,24,1000,真珠,ダミー
600095,24,1000,蛤,ダミー
600096,24,1000,鈴鹿墨,ダミー
600097,25,1000,近江牛のステーキ,ダミー
600098,25,1000,鮒寿司,ダミー
600099,25,1000,焼鯖そうめん,ダミー
600100,25,1000,びん細工手まり,ダミー
600101,26,1000,生八つ橋,ダミー
600102,26,1000,抹茶,ダミー
600103,26,1000,湯豆腐,ダミー
600104,26,1000,つげ櫛,ダミー
600105,27,1000,たこ焼き,ダミー
600106,27,1000,お好み焼き,ダミー
600107,27,1000,ミックスジュース,ダミー
600108,27,1000,大阪錫器,ダミー
600109,28,1000,明石焼き,ダミー
600110,28,1000,丹波黒豆,ダミー
600111,28,1000,鯛めし,ダミー
600112,28,1000,杞柳細工,ダミー
600113,29,1000,奈良づけ,ダミー
600114,29,1000,柿の葉寿司,ダミー
600115,29,1000,鹿せんべい,ダミー
600116,29,1000,奈良筆,ダミー
600117,30,1000,紀州南高うめぼし,ダミー
600118,30,1000,めはりずし,ダミー
600119,30,1000,高野豆腐,ダミー
600120,30,1000,棕櫚箒,ダミー
600121,31,1000,20世紀ナシ,ダミー
600122,31,1000,とうふちくわ,ダミー
600123,31,1000,らっきょう,ダミー
600124,31,1000,はこた人形,ダミー
600125,32,1000,島根赤天かまぼこ,ダミー
600126,32,1000,出雲そば,ダミー
600127,32,1000,しじみ,ダミー
600128,32,1000,めのう細工,ダミー
600129,33,1000,吉備団子,ダミー
600130,33,1000,オリーブ,ダミー
600131,33,1000,蒲鉾,ダミー
600132,33,1000,倉敷はりこ,ダミー
600133,34,1000,広島風おこのみやき,ダミー
600134,34,1000,もみじまんじゅう,ダミー
600135,34,1000,牡蠣,ダミー
600136,34,1000,宮島細工,ダミー
600137,35,1000,下関とらふぐ,ダミー
600138,35,1000,瓦そば,ダミー
600139,35,1000,幽霊寿司,ダミー
600140,35,1000,大内人形,ダミー
600141,36,1000,徳島のすだち,ダミー
600142,36,1000,鳴門金時,ダミー
600143,36,1000,竹ちくわ,ダミー
600144,36,1000,阿波正藍しじら織,ダミー
600145,37,1000,さぬきうどん,ダミー
600146,37,1000,餡餅雑煮,ダミー
600147,37,1000,鮒のてっぱい,ダミー
600148,37,1000,丸亀うちわ,ダミー
600149,38,1000,愛媛みかん,ダミー
600150,38,1000,たこめし,ダミー
600151,38,1000,タルト,ダミー
600152,38,1000,姫だるま,ダミー
600153,39,1000,高知のカツオのたたき,ダミー
600154,39,1000,芋けんぴ,ダミー
600155,39,1000,皿鉢料理,ダミー
600156,39,1000,よさこい鳴子,ダミー
600157,40,1000,めんたいこ,ダミー
600158,40,1000,胡麻鯖,ダミー
600159,40,1000,もつ鍋,ダミー
600160,40,1000,博多人形,ダミー
600161,41,1000,有明ノリ,ダミー
600162,41,1000,逸口香,ダミー
600163,41,1000,シシリアンライス,ダミー
600164,41,1000,有田焼,ダミー
600165,42,1000,長崎のカステラ,ダミー
600166,42,1000,びわ,ダミー
600167,42,1000,長崎ちゃんぽん,ダミー
600168,42,1000,べっこう細工,ダミー
600169,43,1000,熊本辛からしレンコン,ダミー
600170,43,1000,デコポン,ダミー
600171,43,1000,一文字ぐるぐる,ダミー
600172,43,1000,花手箱,ダミー
600173,44,1000,大分の関サバ,ダミー
600174,44,1000,大分しいたけ,ダミー
600175,44,1000,かぼす,ダミー
600176,44,1000,別府竹細工,ダミー
600177,45,1000,宮崎完熟マンゴー,ダミー
600178,45,1000,日向夏,ダミー
600179,45,1000,チキン南蛮,ダミー
600180,45,1000,高千穂神楽面,ダミー
600181,46,1000,桜島大根,ダミー
600182,46,1000,さつまあげ,ダミー
600183,46,1000,両棒餅,ダミー
600184,46,1000,本場大島紬,ダミー
600185,47,1000,サーターアンダギー,ダミー
600186,47,1000,ドラゴンフルーツ,ダミー
600187,47,1000,ゴーヤ,ダミー
600188,47,1000,琉球ガラス,ダミー
