id,attack_id,magic_id,haunt_id,sp_skill_id,advantage_element,weak_element,attack_frequency,magic_frequency,haunt_frequency,defense_frequency,haunt_resist,category,tone_type,frame_type,move_type,sabotage_frequency,favorite_food_kind,unfavorite_food_kind
179010,35,8,179010,179010,3,4,10,60,25,5,70,1,4,1000,2,2,13,5
180000,10,24,180000,180000,6,5,10,65,20,5,85,1,3,1000,2,3,10,11
180010,10,24,180010,180010,6,5,10,65,20,5,90,1,4,1000,2,3,10,11
181000,3,9,181000,181000,3,4,10,65,20,5,85,1,14,1000,2,3,8,14
181010,3,9,181010,181010,3,4,40,45,10,5,90,1,14,1000,2,3,8,14
182000,7,10,182000,182000,4,6,40,10,45,5,45,1,68,1000,1,1,3,8
183000,2,11,183000,183000,4,6,65,10,20,5,60,1,68,1000,1,2,3,8
183010,2,12,183010,183010,4,6,65,10,20,5,70,1,68,1000,1,2,3,8
184000,13,19,184000,184000,6,5,10,40,45,5,45,1,27,1000,2,1,5,6
185000,32,20,185000,185000,6,5,10,40,45,5,60,1,27,1000,2,2,5,6
185010,32,9,185010,185010,3,4,10,40,45,5,75,1,27,1000,2,3,5,6
186000,10,13,186000,186000,5,1,35,10,50,5,45,1,1,1000,1,1,3,4
186010,10,19,186010,186010,5,1,10,35,50,5,55,1,1,1000,1,1,3,4
187000,19,19,187000,187000,5,1,10,30,50,10,45,1,1,1000,1,1,6,1
187010,19,20,187010,187010,3,4,20,10,60,10,55,1,50,1000,1,1,6,1
188000,16,7,188000,188000,3,4,30,10,55,5,55,1,3,1000,2,1,2,12
188010,16,20,188010,188010,6,5,30,10,55,5,60,1,3,1000,1,2,2,12
189000,23,10,189000,189000,4,6,55,10,10,25,50,1,2,1000,1,1,7,4
190000,36,11,190000,190000,4,6,55,10,10,25,75,1,2,1000,1,2,7,4
190020,36,12,190020,190020,4,6,55,10,10,25,85,1,2,1000,1,3,7,4
191000,17,17,191000,191000,6,5,10,65,20,5,75,1,2,1000,2,3,10,3
191010,17,20,191010,191010,3,4,65,10,20,5,75,1,2,1000,2,3,10,3
192000,46,19,192000,192000,2,3,10,35,50,5,70,1,4,1000,1,2,4,9
193000,47,21,193000,193000,2,3,10,35,50,5,80,1,31,1000,1,3,4,9
193010,47,21,193010,193010,3,4,10,45,40,5,80,1,3,1000,1,3,4,9
194000,23,14,194000,194000,5,1,35,10,50,5,60,1,1,1000,1,2,4,5
194010,23,14,194010,194010,5,1,25,10,60,5,75,1,2,1000,1,3,4,5
195000,47,20,195000,195000,6,5,10,35,50,5,60,1,4,1000,1,2,17,3
195010,47,21,195010,195010,5,1,10,35,50,5,70,1,4,1000,1,2,17,3
196000,10,15,196000,196000,5,1,10,35,50,5,75,1,3,1000,2,3,3,10
196010,10,21,196010,196010,6,5,10,35,50,5,80,1,3,1000,2,3,3,10
197000,43,16,197000,197000,6,5,65,10,20,5,45,1,6,1000,1,1,1,11
198000,49,17,198000,198000,6,5,65,10,20,5,70,1,19,1000,1,2,1,11
198010,49,18,198010,198010,6,5,65,10,20,5,75,1,19,1000,1,3,1,11
199000,25,5,199000,199000,2,3,10,35,50,5,45,1,1,1000,2,1,5,6
199010,25,14,199010,199010,5,1,10,35,50,5,45,1,1,1000,2,1,5,6
199020,25,2,199020,199020,1,2,10,40,45,5,55,1,1,1000,2,1,5,6
200000,25,6,200000,200000,2,3,10,40,45,5,70,1,8,1000,1,2,5,6
200010,25,15,200010,200010,5,1,10,40,45,5,70,1,8,1000,1,2,5,6
201000,19,11,201000,201000,4,6,10,20,65,5,55,1,46,1000,1,1,2,7
202000,10,7,202000,202000,3,4,40,10,45,5,50,1,6,1000,1,1,7,10
202010,10,11,202010,202010,4,6,40,10,45,5,60,1,1,1000,1,1,7,10
203000,10,17,203000,203000,6,5,40,10,45,5,55,1,6,1000,2,1,11,7
204000,26,17,204000,204000,6,5,40,10,45,5,75,1,6,1000,2,3,11,7
204010,26,18,204010,204010,6,5,40,10,45,5,75,1,6,1000,2,3,11,7
205000,7,16,205000,205000,6,5,10,65,20,5,60,1,8,1000,1,1,4,8
205010,8,4,205010,205010,2,3,65,10,20,5,70,1,8,1000,1,2,4,8
206000,8,17,206000,206000,6,5,10,60,25,5,60,1,7,1000,1,2,2,4
206010,8,18,206010,206010,6,5,10,60,25,5,70,1,7,1000,1,2,2,4
207000,32,4,207000,207000,2,3,10,35,50,5,55,1,1,1000,1,1,9,4
207010,32,1,207010,207010,1,2,35,10,50,5,55,1,2,1000,1,1,9,4
207020,32,8,207020,207020,3,4,10,10,40,40,70,1,2,1000,1,2,9,4
208000,15,2,208000,208000,1,2,75,10,10,5,75,1,2,1000,1,3,7,12
209000,15,3,209000,209000,1,2,65,10,20,5,80,1,11,1000,1,3,7,12
209010,15,3,209010,209010,1,2,65,10,20,5,80,1,11,1000,1,3,7,12
210000,48,3,210000,210000,1,2,10,40,45,5,75,1,4,1000,2,3,11,3
210010,48,5,210010,210010,2,3,10,40,45,5,80,1,4,1000,2,3,11,3
211000,16,11,211000,211000,4,6,10,65,20,5,30,1,1,1000,1,1,6,11
211010,18,15,211010,211010,0,0,60,25,10,5,60,1,6,1000,1,3,6,11
212000,18,12,212000,212000,4,6,10,65,20,5,60,1,7,1000,1,3,6,11
213000,22,11,213000,213000,4,6,45,40,10,5,35,1,38,1000,1,1,9,7
214000,18,12,214000,214000,4,6,45,40,10,5,65,1,11,1000,2,3,9,7
214010,18,6,214010,214010,2,3,40,45,10,5,65,1,11,1000,2,3,9,7
215000,30,8,215000,215000,3,4,65,10,20,5,35,1,9,1000,2,1,11,12
216000,44,8,216000,216000,3,4,65,10,20,5,50,1,9,1000,2,2,11,12
216010,44,3,216010,216010,1,2,10,65,20,5,60,1,9,1000,2,3,11,12
217000,18,5,217000,217000,2,3,65,10,20,5,40,1,9,1000,1,2,10,8
217010,18,5,217010,217010,2,3,10,40,10,40,50,1,9,1000,1,2,10,8
218000,17,17,218000,218000,6,5,30,10,40,20,40,1,7,1000,2,2,2,12
218010,17,5,218010,218010,2,3,30,10,40,20,50,1,7,1000,2,2,2,12
219000,35,5,219000,219000,2,3,60,10,25,5,40,1,70,1000,1,2,3,5
219010,35,6,219010,219010,2,3,60,10,25,5,50,1,70,1000,1,2,3,5
220000,30,2,220000,220000,1,2,65,10,20,5,50,1,4,1000,1,2,12,3
220010,30,9,220010,220010,3,4,65,10,20,5,60,1,4,1000,1,3,12,3
220020,30,5,220020,220020,2,3,10,65,20,5,50,1,10,1000,1,2,12,3
221000,18,9,221000,221000,3,4,65,10,20,5,65,1,13,1000,2,3,12,5
221010,18,24,221010,221010,1,2,30,55,10,5,65,1,13,1000,2,3,12,5
221020,18,9,221020,221020,3,4,65,20,10,5,90,1,2,1000,2,3,12,5
222000,45,18,222000,222000,6,5,65,10,20,5,95,1,19,1000,1,3,12,10
223000,3,3,223000,223000,1,2,10,65,20,5,95,1,2,1000,1,3,19,5
224000,26,24,224000,224000,2,3,10,65,20,5,90,1,12,1000,1,3,9,10
225000,22,24,225000,225000,4,6,10,65,20,5,95,1,4,1000,1,3,1,2
226000,48,8,226000,226000,3,4,60,10,5,25,95,1,9,1000,1,3,11,10
231000,1,13,231000,231000,5,1,65,10,20,5,50,1,1,1000,1,1,9,15
232000,13,13,232000,232000,5,1,65,10,15,10,50,1,19,1000,1,1,14,9
233000,44,1,233000,233000,1,2,65,15,15,5,50,1,1,1000,1,1,11,5
234000,44,22,234000,234000,6,5,65,20,10,5,60,1,19,1000,1,1,1,2
235000,55,7,235000,235000,3,4,70,5,10,15,60,1,26,2000,1,1,15,13
235500,55,8,235500,235000,3,4,80,5,10,5,75,1,26,2000,1,2,15,13
236000,41,17,236000,236000,6,5,65,10,20,5,75,1,13,1000,1,2,12,15
236900,41,17,236900,236900,6,5,65,10,20,5,90,1,13,1000,1,3,12,15
237000,2,11,237000,237000,4,6,65,5,15,15,70,1,8,2000,1,2,15,6
237500,2,11,237500,237000,4,6,80,5,10,5,85,1,8,2000,1,2,15,6
238000,2,8,238000,238000,3,4,65,5,25,5,85,1,2,1000,1,3,6,16
239000,52,14,239000,239000,5,1,65,10,15,10,75,1,10,1000,1,2,14,9
240000,45,14,240000,240000,5,1,75,10,10,5,85,1,2,1000,1,3,9,15
241000,45,2,241000,241000,1,2,65,10,20,5,85,1,2,1000,1,3,1,2
242000,18,11,242000,242000,4,6,65,10,15,10,90,1,70,1000,1,3,11,14
242010,18,21,242010,242010,5,1,35,55,5,5,90,1,70,1000,1,3,14,11
243000,25,16,243000,243000,6,5,10,65,15,10,50,1,68,1000,1,1,17,5
244000,25,16,244000,244000,6,5,5,65,25,5,60,1,8,2000,2,1,14,1
245000,10,7,245000,245000,3,4,10,65,20,5,60,1,6,1000,2,1,13,9
246000,1,14,246000,246000,5,1,25,25,25,25,60,1,7,1000,1,1,3,7
247000,25,15,247000,247000,5,1,5,65,20,10,70,1,7,1000,1,2,8,4
248000,17,17,248000,248000,6,5,5,60,25,10,75,1,6,1000,2,2,3,10
249000,11,18,249000,249000,6,5,5,65,25,5,85,1,3,2000,2,3,14,1
249500,11,18,249500,249000,6,5,5,80,10,5,90,1,3,2000,2,3,14,1
250000,47,9,250000,250000,3,4,5,65,15,15,85,1,8,1000,1,3,15,17
251000,20,12,251000,251000,4,6,5,65,20,10,85,1,6,1000,1,3,13,9
252000,26,21,252000,252000,3,4,5,65,15,15,85,1,7,1000,1,3,9,7
253000,17,9,253000,253000,3,4,10,65,20,5,90,1,2,2000,1,3,9,8
253010,17,9,253010,253010,3,4,10,65,15,10,90,1,2,2000,1,3,8,9
254000,25,10,254000,254000,4,6,20,5,35,40,50,1,1,1000,1,1,17,5
255000,25,13,255000,255000,5,1,10,15,50,25,50,1,1,1000,2,1,9,1
256000,19,2,256000,256000,1,2,10,40,10,40,70,1,8,1000,1,2,13,10
257000,13,8,257000,257000,3,4,40,40,10,10,60,1,2,1000,1,1,9,6
258000,25,10,258000,258000,4,6,35,10,20,35,50,1,8,1000,1,1,1,2
259000,2,20,259000,259000,2,3,55,5,35,5,75,1,9,1000,1,3,8,14
260000,26,23,260000,260000,5,1,5,40,15,40,75,1,69,1000,1,2,12,6
261000,54,11,261000,261000,4,6,65,5,10,20,75,1,2,1000,1,2,1,2
262000,6,12,262000,262000,4,6,40,40,10,10,75,1,2,2000,1,3,11,10
262010,6,9,262010,262010,3,4,40,40,10,10,80,1,2,2000,1,3,14,13
263000,8,2,263000,263000,1,2,65,10,20,5,70,1,2,1000,1,2,11,10
264000,32,9,264000,264000,3,4,40,40,10,10,85,1,2,1000,1,3,9,6
265000,33,5,265000,265000,2,3,15,5,30,50,85,1,14,1000,1,3,1,2
266000,48,6,266000,266000,2,3,55,10,5,30,90,1,2,2000,1,3,16,5
266010,48,3,266010,266010,1,2,10,30,30,30,90,1,7,2000,1,3,16,5
267000,22,4,267000,267000,2,3,10,65,20,5,60,1,1,2000,1,1,15,14
268000,22,14,268000,268000,5,1,50,10,35,5,60,1,68,2000,1,1,15,14
269000,7,22,269000,269000,1,2,10,65,20,5,50,1,3,1000,1,1,14,6
270000,26,14,270000,270000,5,1,65,10,20,5,70,1,2,1000,1,2,13,16
271000,10,5,271000,271000,2,3,5,65,25,5,70,1,3,1000,1,2,5,15
272000,10,14,272000,272000,5,1,10,50,35,5,60,1,6,1000,1,1,14,8
273000,11,21,273000,273000,3,4,10,65,15,10,75,1,4,1000,1,2,5,12
274000,5,6,274000,274000,2,3,10,65,20,5,85,1,2,2000,1,3,10,13
274010,5,6,274010,274010,2,3,10,65,20,5,90,1,2,2000,1,3,9,1
274500,5,6,274500,274000,2,3,5,80,10,5,90,1,2,2000,1,3,9,1
275000,47,18,275000,275000,6,5,5,65,25,5,90,1,4,1000,1,3,12,17
276000,55,22,276000,276000,5,1,5,65,25,5,50,1,3,1000,1,1,10,13
277000,13,16,277000,277000,6,5,10,60,10,20,50,1,4,2000,1,1,15,7
277500,13,17,277500,277000,6,5,15,70,10,5,70,1,4,2000,1,1,15,7
278000,22,22,278000,278000,1,2,10,60,20,10,50,1,6,1000,1,1,15,8
279000,25,23,279000,279000,4,6,10,65,15,10,70,1,45,1000,1,2,17,13
280000,25,22,280000,280000,1,2,35,50,10,5,60,1,28,2000,1,1,8,4
280500,25,23,280500,280500,1,2,45,40,10,5,75,1,28,2000,1,2,8,4
281000,46,22,281000,281000,5,1,10,55,30,5,60,1,1,2000,1,1,17,15
281500,46,23,281500,281000,5,1,10,75,10,5,75,1,1,2000,1,2,17,15
282000,8,2,282000,282000,1,2,10,65,20,5,70,1,12,1000,1,2,14,16
283000,11,24,283000,283000,6,5,25,55,15,5,70,1,7,1000,1,2,7,12
284000,55,24,284000,284000,5,1,5,65,25,5,75,1,6,1000,1,2,10,13
285000,22,23,285000,285000,1,2,10,60,20,10,75,1,6,1000,1,2,15,17
286000,33,11,286000,286000,4,6,30,10,10,50,85,1,4,2000,1,3,8,13
287000,46,24,287000,287000,5,1,10,55,30,5,85,1,7,2000,1,3,17,15
288000,8,18,288000,288000,6,5,10,65,20,5,85,1,2,1000,1,3,4,8
289000,27,24,289000,289000,1,2,40,40,10,10,90,1,2,2000,1,3,8,4
290000,17,24,290000,290000,3,4,10,65,20,5,90,1,2,2000,2,3,9,5
290010,17,24,290010,290010,5,1,10,65,20,5,90,1,2,2000,2,3,16,3
291000,25,10,291000,291000,4,6,5,65,20,10,50,1,39,2000,1,1,17,12
292000,1,7,292000,292000,3,4,10,35,50,5,45,1,2,1000,2,1,6,10
293000,16,19,293000,293000,2,3,55,10,30,5,55,1,9,1000,1,1,8,14
294000,25,4,294000,294000,2,3,10,35,50,5,45,1,6,1000,1,1,10,11
295000,5,17,295000,295000,6,5,55,10,30,5,60,1,54,1000,1,2,13,6
296000,46,20,296000,296000,3,4,10,35,50,5,60,1,4,1000,2,2,8,7
297000,26,14,297000,297000,5,1,20,10,60,10,60,1,6,1000,1,2,6,10
298000,48,3,298000,298000,1,2,20,65,10,5,75,1,55,1000,1,3,15,7
299000,11,15,299000,299000,5,1,10,35,50,5,70,1,3,1000,2,2,8,7
300000,18,21,300000,300000,5,1,10,60,25,5,70,1,5,1000,1,2,18,10
301000,1,8,301000,301000,3,4,10,35,50,5,70,1,11,1000,2,2,6,10
302000,27,12,302000,302000,4,6,20,20,50,10,80,1,8,1000,1,3,16,4
303000,29,10,303000,303000,4,6,10,60,25,5,45,1,1,2000,1,1,1,9
303500,29,11,303500,303000,4,6,10,75,10,5,70,1,1,2000,1,1,1,9
304000,10,23,304000,304000,0,0,10,40,45,5,55,1,59,1000,2,1,6,16
305000,8,8,305000,305000,3,4,10,60,25,5,60,1,4,1000,1,2,16,5
306000,10,20,306000,306000,3,4,10,35,50,5,60,1,3,1000,1,2,17,4
307000,25,17,307000,307000,6,5,35,10,50,5,60,1,8,1000,1,2,12,13
308000,47,20,308000,308000,5,1,10,35,50,5,70,1,7,1000,1,2,6,1
309000,20,3,309000,309000,1,2,10,50,10,30,75,1,9,1000,1,3,13,9
310000,26,14,310000,310000,5,1,25,10,60,5,70,1,9,1000,1,2,13,15
