id,name,field_scale_npc,field_scale_member,battle_scale_member,battle_scale_enemy,call_effect_scale,collection_offset_y,mission_scale
124,ルビーニャン,1,1,1.08,2.2,1.2,0,1
125,トパニャン,1,1,1.08,2.2,1.2,0,1
126,ノガッパ,1,1,0.99,2,0.98,0,1
127,えせガッパ,1,1,0.99,2,0.98,0,1
128,たびガッパ,1,1,0.95,2.1,0.95,0,1
129,なみガッパ,1,1,0.95,2.1,0.95,0,1
130,じゃまガッパ,1,1,0.95,2.1,0.95,0,1
131,コマさん,1,1,0.99,2.1,1,0,1
132,コマじろう,1,1,0.99,2.1,1,0,1
133,ダマさん,1,1,0.99,2.1,1,0,1
134,コマさん[Ｓ/エス],1,1,0.99,2.1,1,0,1
135,コマじろう[Ｓ/エス],1,1,0.99,2.1,1,0,1
136,ししコマ,1,1,0.88,2.1,0.95,0,1
137,とらじろう,1,1,0.88,2.1,0.95,0,1
138,だまししコマ,1,1,0.88,2.1,0.95,0,1
139,ボー坊,1,1,0.63,1.7,0.75,0,0.8
140,しどろもどろ,1,1,0.63,1.7,0.75,0,0.8
141,ボーどろ,1,1,0.63,1.7,0.75,0,1
142,さむガリ,1,1,0.9,2.1,1,0,0.95
143,ガリ王子,1,1,0.81,1.8,0.9,0,1
144,あつガルル,1,1,0.81,1.8,0.9,0,1
145,サギ王子,1,1,0.81,1.8,0.9,0,1
146,モレゾウ,1,1,1.08,2.5,1,0,1
147,プルファント,1,1,1.08,2.5,1,0,1
148,さいの目入道,0.85,0.85,0.6,1.25,0.53,0,0.7
149,ゾロ目大明神,0.85,0.85,0.6,1.25,0.53,0,0.7
150,天狗,1,1,0.81,1.9,0.9,0,1
151,ほむら天狗,1,1,0.81,1.9,0.9,0,1
152,キザ天狗,1,1,0.81,1.9,0.9,0,1
153,ひも爺,1,1,0.9,2,0.9,0,1
154,こめ爺,1,1,0.9,2,0.9,0,1
155,キモ爺,1,1,0.9,2,0.9,0,1
156,くいい爺,1,1,0.855,1.9,1,0,1
157,じんめん犬,1,1,0.99,2.1,1,0,1
158,悪メン犬,1,1,0.99,2.1,1,0,1
159,かおベロス,1,1,0.63,2.1,0.6,0,0.9
160,三途の犬,1,1,0.63,2.1,0.6,0,0.9
161,笑ウツボ,1,1,0.94,2,0.95,0,1
162,歌ウナギ,1,1,0.94,2,0.95,0,1
163,大蛇のツボ,1,1,0.94,2,0.95,0,1
164,ねつぞウナギ,1,1,0.94,2,0.95,0,1
165,ぜっこう蝶,1,1,1.08,2.3,1,0,1
166,ゼッコウ蝶,1,1,1.08,2.3,1,0.2,1
167,絶不蝶,1,1,1.08,2.3,1,0.2,1
168,サイコウ蝶,1,1,0.72,1.7,0.8,0.2,0.9
169,アゲアゲハ,1,1,0.72,1.7,0.8,-0.6,0.9
170,ワカメくん,1,1,0.9,1.9,0.9,0,0.9
171,コンブさん,1,1,0.9,1.9,0.9,0,0.9
172,メカブちゃん,1,1,0.9,1.9,0.9,0,0.9
173,どろこんぶ,1,1,0.9,1.9,0.9,0,1
174,キュン太郎,1,1,0.9,2,1.1,0,1
175,腹黒郎,1,1,0.9,2,1.1,0,1
176,ズキュキュン太,1,1,0.765,1.6,0.9,0,0.8
177,裏キュン太,1,1,0.765,1.6,0.9,0,0.8
178,ホノボーノ,1,1,0.45,1.35,0.55,0,0.7
179,ヒョウヘンヌ,1,0.8,0.45,1.15,0.45,-1,0.6
180,ヒョウヘンナ,1,0.8,0.45,1.15,0.45,-1,0.6
181,サンタク老師,1,0.8,0.495,1.4,0.6,-1,0.7
182,ふくろじじい,1,0.8,0.495,1.4,0.6,-1,0.7
183,あきす老師,1,0.8,0.495,1.4,0.6,0,0.8
184,聖オカン,1,1,0.504,1.4,0.6,-0.7,0.65
185,心オバア,1,1,0.504,1.4,0.6,-0.7,0.65
186,雷オトン,1,1,0.504,1.4,0.55,-0.7,0.65
187,絶オジイ,1,1,0.504,1.4,0.55,-0.7,0.65
188,悪オトン,1,1,0.504,1.4,0.55,-0.7,1
189,かたのり小僧,7,7,6.3,15,7,0,6
190,かたのり親方,1.1,1.1,0.9,2,1,0,1.1
191,ぎっくり男,1.1,1.1,0.9,2,1,0,1.1
192,ネガティブーン,1,1,0.68,1.7,0.6,-0.5,0.8
193,てぐせブーン,1,1,0.68,1.7,0.6,-0.5,1
194,ジャネガブーン,1,0.9,0.58,1.5,0.55,0,0.9
195,かゆかゆ,1,0.9,0.58,1.5,0.55,0,0.9
196,みちび鬼,1,1,0.72,1.5,0.75,0,0.8
197,えこひい鬼,1,1,0.72,1.5,0.75,0,0.8
198,ヨコドリ,1,1,0.99,2,0.96,0,1
199,はらおドリ,1,1,0.99,2,0.96,0,1
200,口だけおんな,1,1,0.585,1.4,0.6,-0.5,0.8
201,おつぼね様,1,1,0.585,1.4,0.6,-0.5,0.8
202,グレるりん,1,1,0.72,1.6,0.65,0,0.8
203,ブレルりん,1,1,0.72,1.6,0.65,0,1
204,ゴクドー,1,1,0.8,1.7,0.7,0,0.9
205,アニ鬼,1,1,0.8,1.7,0.7,0,0.9
206,魔ガサス,1,1,0.78,1.9,0.8,-0.3,0.8
207,ウ魔,1,1,0.78,1.9,0.8,-0.3,0.8
208,通り馬,1,1,0.78,1.9,0.8,-0.3,1
209,しわくちゃん,1,1,0.72,1.9,0.8,0,0.9
210,いわくちゃん,1,1,0.72,1.9,0.8,0,1
211,老いらん,1,1,0.72,1.8,0.75,0,0.8
212,ふじみ御前,1,1,0.72,1.8,0.75,0,0.8
213,青いらん,1,1,0.72,1.8,0.75,0,1
214,おならず者,0.8,0.8,0.76,1.6,0.7,0,0.8
215,へこ鬼神,0.8,0.8,0.76,1.6,0.7,0,0.8
216,おすべり様,1,1,0.63,1.4,0.65,0,0.8
217,おしっしょう,1,1,0.63,1.4,0.65,0,0.8
218,ペテン師匠,1,1,0.63,1.4,0.65,0,1
219,フゥミン,1,1,0.67,2,0.9,-1,0.9
220,おねむの精,1,1,0.67,2,0.9,-1,0.9
221,フゥビン,1,1,0.67,2,0.9,-1,1
222,ジミー,1,1,0.81,2,0.82,0,0.9
223,カゲロー,1,1,0.72,2,0.8,0,0.9
224,カイム,1,1,0.72,2,0.8,0,0.9
225,じめりんぼう,1,1,1.08,1.9,1,0,1
226,こおりんぼう,1,1,1.08,1.9,1,0,1
227,たらりん,1,1,1.08,1.9,1,0,1
228,雨ふらし,1,0.9,0.67,1.5,0.63,1,0.9
229,化けあられ,1,0.9,0.67,1.5,0.63,1,0.9
230,ドンヨリーヌ,0.87,0.7,0.54,1.15,0.4,1.5,0.7
231,うらやましろう,1,1,0.99,2.2,1,0,1
232,つまみぐいのすけ,1,1,0.99,2.2,1,0,1
233,ヒキコウモリ,1,1,0.99,2.1,0.9,0,1
234,トジコウモリ,1,1,0.5,1.45,0.6,-2,0.7
235,ヤドコウモリ,1,1,0.5,1.45,0.6,-2,0.7
236,びんボーイ,1,1,0.72,1.7,0.84,0,0.9
237,らくてん童,1,1,0.72,1.7,0.84,0,0.9
238,どろボーイ,1,1,0.72,1.7,0.84,0,1
239,ネクラマテング,1,1,0.76,1.8,0.9,-1,0.9
240,ヨミテング,1,1,0.76,1.8,0.9,-1,0.9
241,立ちヨミテング,1,1,0.76,1.8,0.9,0,1
242,ぎしんあん鬼,1,1,0.7,1.8,0.7,0,0.8
243,ガ鬼,1,1,0.7,1.8,0.7,0,0.8
244,あまのじゃく,1,1,0.7,1.8,0.7,0,0.8
245,デビビル,1,1,0.86,2,0.85,0,1
246,イビビル,1,1,0.86,2,0.85,0,1
247,デビビラン,1,1,0.6,1.7,0.7,0,0.8
248,虫歯伯爵,1,1,0.6,1.7,0.7,0,0.8
249,ドケチング,1,1,0.63,1.7,0.7,-0.5,0.8
250,ヤミまろ,1,1,0.63,1.7,0.7,-0.5,0.8
251,のぞキング,1,1,0.63,1.7,0.7,-0.5,1
252,ツチノコ,1,1,1.08,2,1.1,0,1
253,ツチノコパンダ,1,1,1.08,2,1.1,0,1
254,ニセノコ,1,1.2,1.08,2,1.1,0,1.2
255,フクリュウ,1,1,1.08,2.2,1.2,0,1.05
256,りゅーくん,1,1,0.99,2.1,1,0,1
257,わりゅーくん,1,1,0.99,2.1,1,0,1
258,龍神,1,0.85,0.7,1.5,0.63,-0.5,0.8
259,青龍,1,0.85,0.7,1.5,0.63,-0.5,0.8
260,キライギョ,1,1,0.9,1.9,0.78,0,1
261,ゾウオ,1,1,0.585,1.5,0.6,-0.5,0.7
262,ギャクジョウオ,1,1,0.585,1.5,0.6,-0.5,0.7
263,ミチクサメ,1,1,0.72,1.7,0.75,0,0.8
264,トーシロザメ,1,1,0.72,1.7,0.75,0,0.8
265,ほらふきザメ,1,1,0.72,1.7,0.75,0,1
266,ムダヅカイ,1,1,1.12,2.5,1.2,0,1
267,はらわシェル,1,1,1.12,2.5,1.2,0,1
268,まきあげ貝,1,1,1.12,2.5,1.2,0,1
269,ナガバナ,1,1,0.67,1.8,0.7,0,0.9
270,ナガバナナ,1,1,0.67,1.8,0.7,0,0.9
271,しきるん蛇,1,1,0.99,2.2,1,0,1
272,まむし行司,1,1,0.99,2.2,1,0,1
273,すねスネーク,1,1,0.99,2.2,1,0,1
274,荒らすん蛇,1,1,0.99,2.2,1,0,1
275,オロチ,1,1,0.58,1.5,0.6,-0.5,0.8
276,影オロチ,1,1,0.58,1.5,0.6,-0.5,0.8
277,ヒカリオロチ,1,1,0.58,1.5,0.6,-0.5,0.8
278,ブシニャン,1,1,1.08,2.2,1.2,0,1
279,しゅらコマ,1,1,0.99,2.1,1,0,1
280,イケメン犬,1,1,0.99,2.1,1,0,1
281,花さか爺,1,1,0.9,2,0.9,0,1
282,山吹鬼,1,1,0.8,2.1,0.85,0,1
283,獅子まる,1,1,0.99,2,1,0,1
284,かたづ家来,1.2,1.2,1.08,2.6,1.2,0,1.2
285,おこ武者,1,1,1.08,2.2,1,0,1
286,おにぎり侍,1,1.3,0.99,2.2,1,0,1
287,あかなめ,1,1,0.81,1.9,1,0,1
288,あかなめ・怪,1,1,0.81,1.9,1,0,1
289,ごきげんななめ,1,1,0.81,1.9,1,0,1
290,フユニャン,1,1,1.08,2.2,1.2,0,1
291,フユニャンＳ,1,1,1.08,2.2,1.2,0,1
292,泥田坊,1,1,0.9,2.1,0.75,0,1
293,泥田坊・怪,1,1,0.9,2.1,0.75,0,1
294,ソーダ坊,1,1,0.9,2.1,0.75,0,1
295,ブリー隊長,1,0.9,0.55,1.4,0.6,0,0.75
296,アライ魔将,1,0.9,0.6,1.35,0.55,0,0.8
297,万尾獅子,1,0.9,0.78,1.8,0.8,0,0.9
298,焼きおに斬り,1,1,0.85,1.95,0.9,0,1
299,鬼食い,0.4,0.17,0.11,0.32,0.12,0,0.17
300,いのちとり,0.4,0.17,0.11,0.32,0.12,0,0.17
301,さかさっ傘,1,1,0.85,1.8,0.8,0,1
302,こえんら,1.3,1.3,1.17,2.6,1.2,0,1.3
303,きこえんら,1.3,1.3,1.17,2.6,1.2,0,1.3
304,一旦ゴメン,1,1,0.66,1.5,0.67,-1.7,0.85
305,モノマネキン,1,1,0.9,1.9,0.9,0,1
306,[Ｕ/ユー]．[Ｓ/エス]．[Ｏ/オー]．,1,1,0.81,1.8,0.7,0,0.9
307,メゾン・ドワスレ,0.65,1,0.53,1.3,0.5,0,0.8
308,えんらえんら,1,1,0.75,1.9,0.8,0,0.95
309,えんらえんら・怪,1,1,0.75,1.9,0.8,0,0.95
310,なんやかんや,1,1,0.75,1.9,1,0,1
311,おでんじん,0.8,0.8,0.52,1.4,0.58,0,0.75
312,あやまり倒し,0.8,0.6,0.45,0.98,0.35,1,0.7
313,うんがい三面鏡,1,1,0.585,1.4,0.53,0,0.8
314,ぬえ,1,1,0.74,1.8,0.7,0,0.85
315,風魔猿,1,1,0.74,1.8,0.7,0,0.85
316,ドキ土器,1,1,0.9,2.2,0.9,0,1
317,うらや飯,1,1,0.945,2.2,1,0,1
318,あせっか鬼,1,0.9,0.57,1.75,0.65,0,0.9
319,雷蔵,1,1.1,0.99,2.1,1,0,1.1
320,迷い車,1,0.8,0.63,1.2,0.5,0,0.8
321,泥ボックン,1,1,0.9,2.2,1,0,1.1
322,プライ丼,1,0.9,0.65,1.7,0.7,0,0.9
323,だっせんしゃ,1,0.8,0.58,1.25,0.5,0,0.85
324,百々目鬼,1.1,1.1,0.68,1.8,0.7,0,0.95
325,きらめ鬼,1.1,1.1,0.68,1.8,0.7,0,0.95
326,ざわめき,1.1,1.1,0.68,1.8,0.7,0,1.1
327,肉くいおとこ,1,1,0.8,2,1,0,1
328,ヒライ神,1.2,1.2,0.94,2.2,0.91,-1.2,1.1
329,ガマンモス,1,1,0.81,2.05,0.85,0,1
330,大ガマ,1,0.95,0.67,1.85,0.7,0,0.95
331,大やもり,1,0.95,0.67,1.85,0.7,0,0.95
332,のっぺら坊,1,1,0.9,2.2,1,0,1
333,ほっぺた坊,1,1,0.9,2.2,1,0,1
334,一つ目小僧,1,1,0.9,2,1,0,1
335,ふかづめ小僧,1,1,0.9,2,1,0,1
336,びきゃく,1,1,0.99,2.2,0.9,0,0.95
337,ばくそく,1.2,1.2,1.08,2.2,1,0,1.1
338,雨女,1,1,0.76,1.9,0.75,0,0.9
339,つらがわり,1,1,0.9,2.2,1,0,1
340,おバク様,1,0.8,0.6,1.4,0.6,0,0.8
341,河童,1,1,0.94,2,1,0,1
342,水虎,1,1,0.94,2,1,0,1
343,河童・怪,1,1,0.94,2.2,1,0,1
344,へのかっぱ,1,1,0.94,2.2,1,0,1
345,マスターニャーダ,1,1,0.9,2.2,1,0,1
346,キズナメコ,1,1,0.99,2.2,1,0,1
347,から傘お化け,1,1,0.72,1.7,0.7,0,0.95
348,から傘お化け・怪,1,1,0.72,1.7,0.7,0,0.95
349,ガサガサお化け,1,1,0.72,1.7,0.7,0,1
350,砂夫,1.2,1.2,0.99,2.2,1,0,0.85
351,どんちゃん,1,1,0.9,2.2,1,0,1
352,どんちゃん,1,1,0.9,2.2,1,0,1
353,くだん,1.2,1.2,1.03,2.5,1.2,0,1
354,くだん・怪,1.2,1.2,1.03,2.5,1.2,0,1
355,くだらん,1.2,1.2,1.03,2.2,1,0,1.2
356,ざしきわらし,1,1,0.94,2.2,1,0,0.95
357,ざしきわらし・怪,1,1,0.94,2.2,1,0,0.95
358,ざしき荒らし,1,1,0.94,2.2,1,0,1
359,晴れ男,1,1,0.68,1.8,0.73,0,0.9
360,ワカメ☆スター,1,1,0.76,1.8,0.8,0,0.95
361,キズナース,1,1,0.9,2.2,1,0,1
362,大山砂夫,1,1,0.76,1.8,0.8,0,0.85
363,から傘魔人,0.9,0.7,0.5,1.35,0.55,0,0.7
364,ざしきわら神,1,1,0.81,2.2,1,0,1
365,お金ナイダー,1,1,0.67,1.9,0.75,0,0.9
366,大くだん,1,1,0.7,1.8,0.75,0,0.85
367,麒麟,0.85,0.7,0.52,1.4,0.55,-1,0.65
368,イッカク,0.85,0.7,0.52,1.4,0.55,-1,0.65
369,化け草履,1.2,1.2,0.99,2.3,1,0,1.1
370,ばか草履,1.2,1.2,0.99,2.3,1,0,1.2
371,ＴＥＴＳＵＹＡ,1,1,0.99,2.2,1,0,1
372,かりパックン,1.1,1.1,1.08,2.2,1,0,1.1
373,草くいおとこ,1.2,1.2,1.08,2.4,1,0,1.1
374,まてんし,1.1,1.1,0.9,2,1,0,1.1
375,ひとまか仙人,1,1,0.9,1.8,0.8,0,1
376,りもこんかくし,1,1,0.9,2.2,1,0,1
377,ミツマタノヅチ,1,1,0.79,1.6,0.65,0,1
378,リー夫人,1,1,0.77,2,0.85,0,0.9
379,ガブニャン,1,1,1.08,2.2,1,0,1
380,ＫＡＮＴＥＴＳＵ,1.2,1.2,0.85,2.2,1,-1.2,1.1
381,どんどろ,1,1,0.8,2,0.7,0,1
382,けうけげん,1,1,0.85,2,0.9,0,1
383,けうけげん・怪,1,1,0.85,2,0.9,0,1
384,ねぐせげん,1,1,0.85,2,0.9,0,1
385,認[ＭＥＮ/メン],1.2,1.2,0.95,2.3,0.9,0,1.1
386,じがじぃさん,1.2,1.2,0.85,2.5,1,0,1.1
387,花子さん,1,1,0.76,2,0.9,-1,0.85
388,のらりくらり,1.3,1.3,1.03,2.6,1.2,0,1.05
389,ぶんぶん鳥,1,1,0.85,1.9,0.7,0,0.95
390,のぼせトンマン,1,1,0.72,1.8,0.7,0,0.9
391,爆音ならし,1,1.2,0.91,2.2,1,0,1.2
392,ふさふさん,1,1,0.99,2,0.9,0,1
393,むだむだん,1,1,0.99,2,0.9,0,1
394,呪野花子,0.9,0.9,0.62,1.8,0.8,-1.5,0.85
395,土蜘蛛,1.1,1.1,0.65,1.9,0.8,-1,0.9
396,女郎蜘蛛,1.1,1.1,0.65,1.9,0.8,-1,0.9
397,ケマモン,1,1,0.55,1.45,0.6,0,0.75
398,ねちがえる,1,1,0.63,2,0.7,0.8,0.9
399,からみぞん,1,1,1.03,2.2,1,0,1
400,おともらし,1,1,0.9,2.2,1,0,1
401,おもいだスッポン,1.1,1.1,0.99,2.3,1,0,1.1
402,つられたろう丸,1.1,1.1,0.78,2,0.8,0,0.9
403,ムカムカデ,1.2,1.2,0.94,2.2,1,0,1.2
404,にんぎょ,1.1,1.1,0.9,2.2,1,-0.5,1
405,にんぎょ・怪,1.1,1.1,0.9,2.2,1,-0.5,1
406,ろうにんぎょ,1.1,1.1,0.9,2.2,1,0,1.1
407,ろくろ首,1.1,1.1,0.72,1.8,0.8,0,0.9
408,ろくろ首・怪,1.1,1.1,0.72,1.8,0.8,0,0.9
409,とぐろ首,1.1,1.1,0.72,1.8,0.8,0,1.1
410,ホリュウ,1,1,0.69,1.7,0.7,0,0.8
411,激ドラゴン,1,1,0.7,1.9,0.75,0,0.9
412,おもいだ神,1,1,0.7,1.8,0.8,-1.5,0.9
413,こんがらギャル,1,1,0.76,1.9,0.85,0,1
414,八百比丘尼,1,1,0.76,2,0.85,-1,0.85
415,イザナミ,1,1,0.76,2,0.85,-1,0.85
416,ネタバレリーナ,1,1,0.81,2.2,0.9,-1,1
417,うんちく魔,1,1,0.81,2.2,0.95,0,1
418,やまタン,1,0.9,0.7,1.8,0.7,0,0.9
419,ゆらめく怪魔,0.9,1,0.63,1.2,0.5,0,1
420,さまよう怪魔,0.9,1,0.72,1.2,0.5,-1,1
421,たくらむ怪魔,1,1,0.63,1.7,0.7,0,1
422,厄怪,1,0.9,0.67,1.5,0.7,0,0.9
423,不怪,1,0.9,0.53,1.4,0.6,-1.3,0.7
424,豪怪,0.95,0.75,0.49,1.3,0.52,-1,0.7
425,難怪,1,0.9,0.58,1.65,0.7,-1,0.7
426,破怪,0.95,0.8,0.43,1.35,0.48,-1,0.7
427,ジコチュウ,1,1,0.99,2.3,1,0,1
428,アペリカン,1,1,0.55,1.5,0.6,0,0.8
429,ダークニャン,1,1.1,1.08,2.2,1.2,0,1.1
430,ブチニャン,1,1.1,1.08,2.2,1.2,0,1.1
431,セバスチャン,1,1,0.63,1.8,0.7,0,0.95
432,ロボニャン[Ｆ/エフ]型,1,1,1.08,2.6,1.3,0,1
433,セーラーニャン,1.1,1.1,1.08,2.2,1.2,0,1.1
434,マスクドニャーン,1.1,1.1,1.08,2.2,1.2,0,1.1
435,ジバコマ,1,1,0.99,2.1,1,0,1
436,ジェットニャン,1,1,1.08,2.2,1.2,0,1
437,ワンダーニャン,1,1,1.08,2.2,1.2,0,1
438,[Ｍｒ/ミスター]．ムービーン,1,1,0.9,1,1,0,1
439,ハナホ人,1,0.9,0.81,1.8,0.85,0,0.9
440,妖怪ガッツ[Ｋ/ケー],1,1,0.85,2,1,-0.5,0.9
441,妖怪ガッツ[Ｆ/エフ],1,1,0.85,2,1,-0.5,0.9
442,赤鬼,1.05,1.05,0.85,2.4,0.84,-0.2,1.05
