id,skill_id,level,name,description,description_gacha
19,7,1,お買いもの,おみやげを　持って帰ってくる確率が\n{0}％増加する,おみやげを持って\n帰ってくる確率が\n増加する
20,7,2,お買いもの,おみやげを　持って帰ってくる確率が\n{0}％増加する,おみやげを持って\n帰ってくる確率が\n増加する
21,7,3,お買いもの,おみやげを　持って帰ってくる確率が\n{0}％増加する,おみやげを持って\n帰ってくる確率が\n増加する
22,8,1,出稼ぎ,妖怪の移動で得られるヨーカが\n{0}%増加する,おでかけ結果で\n得られるヨーカが\n増加する
23,8,2,出稼ぎ,妖怪の移動で得られるヨーカが\n{0}%増加する,おでかけ結果で\n得られるヨーカが\n増加する
24,8,3,出稼ぎ,妖怪の移動で得られるヨーカが\n{0}%増加する,おでかけ結果で\n得られるヨーカが\n増加する
25,9,1,のんびり,ヒョーイ時間が{0}％長くなる\nヒョーイ時間切れで　おやすみメダルのとき\n再ヒョーイしても　効果は適用されない,ヒョーイ時間が\n増加する
26,9,2,のんびり,ヒョーイ時間が{0}％長くなる\nヒョーイ時間切れで　おやすみメダルのとき\n再ヒョーイしても　効果は適用されない,ヒョーイ時間が\n増加する
27,9,3,のんびり,ヒョーイ時間が{0}％長くなる\nヒョーイ時間切れで　おやすみメダルのとき\n再ヒョーイしても　効果は適用されない,ヒョーイ時間が\n増加する
28,10,1,延長,ヒョーイ時間が{0}分長くなる\nヒョーイ時間切れで　おやすみメダルのとき\n再ヒョーイしても　効果は適用されない,ヒョーイ時間が\n増加する
29,10,2,延長,ヒョーイ時間が{0}分長くなる\nヒョーイ時間切れで　おやすみメダルのとき\n再ヒョーイしても　効果は適用されない,ヒョーイ時間が\n増加する
30,10,3,延長,ヒョーイ時間が{0}分長くなる\nヒョーイ時間切れで　おやすみメダルのとき\n再ヒョーイしても　効果は適用されない,ヒョーイ時間が\n増加する
31,11,1,突貫,妖怪大戦で　敵に与えるダメージを\n僅かに増加する,妖怪大戦の敵に\n与えるダメージを\n増加する
32,11,2,突貫,妖怪大戦で　敵に与えるダメージを\n少し増加する,妖怪大戦の敵に\n与えるダメージを\n増加する
33,11,3,突貫,妖怪大戦で　敵に与えるダメージを\n増加する,妖怪大戦の敵に\n与えるダメージを\n増加する
34,12,1,追撃,妖怪大戦で　敵に与えるダメージを\n{0}増加する,妖怪大戦の敵に\n与えるダメージを\n増加する
35,12,2,追撃,妖怪大戦で　敵に与えるダメージを\n{0}増加する,妖怪大戦の敵に\n与えるダメージを\n増加する
36,12,3,追撃,妖怪大戦で　敵に与えるダメージを\n{0}増加する,妖怪大戦の敵に\n与えるダメージを\n増加する
37,13,1,応援,妖怪大戦で　全体ダメージを\n{0}%増加させる,妖怪大戦の敵に\n与える全体\nダメージを\n増加する
38,13,2,応援,妖怪大戦で　全体ダメージを\n{0}%増加させる,妖怪大戦の敵に\n与える全体\nダメージを\n増加する
39,13,3,応援,妖怪大戦で　全体ダメージを\n{0}%増加させる,妖怪大戦の敵に\n与える全体\nダメージを\n増加する
40,14,1,弱虫,おでかけバトルに負けると　他のプレイヤーに\nヒョーイする可能性が{0}%増加する,おでかけバトルに\n負けてしまうと\n他プレイヤーに\nヒョーイする\n可能性が増加する
41,14,2,弱虫,おでかけバトルに負けると　他のプレイヤーに\nヒョーイする可能性が{0}%増加する,おでかけバトルに\n負けてしまうと\n他プレイヤーに\nヒョーイする\n可能性が増加する
42,14,3,弱虫,おでかけバトルに負けると　他のプレイヤーに\nヒョーイする可能性が{0}%増加する,おでかけバトルに\n負けてしまうと\n他プレイヤーに\nヒョーイする\n可能性が増加する
43,15,1,嫌われ者,妖怪を連れて帰ってくる確率が\n{0}%減少する,妖怪を連れて\n帰ってくる確率が\n減少する
44,15,2,嫌われ者,妖怪を連れて帰ってくる確率が\n{0}%減少する,妖怪を連れて\n帰ってくる確率が\n減少する
45,15,3,嫌われ者,妖怪を連れて帰ってくる確率が\n{0}%減少する,妖怪を連れて\n帰ってくる確率が\n減少する
46,16,1,忘却,おみやげを　持って帰ってくる確率が\n{0}％減少する,おみやげを持って帰ってくる確率が\n減少する
47,16,2,忘却,おみやげを　持って帰ってくる確率が\n{0}％減少する,おみやげを持って帰ってくる確率が\n減少する
48,16,3,忘却,おみやげを　持って帰ってくる確率が\n{0}％減少する,おみやげを持って帰ってくる確率が\n減少する
49,17,1,ばらまき,妖怪の移動で得られるヨーカが\n{0}%減少する,おでかけ結果で\n得られるヨーカが\n減少する
50,17,2,ばらまき,妖怪の移動で得られるヨーカが\n{0}%減少する,おでかけ結果で\n得られるヨーカが\n減少する
51,17,3,ばらまき,妖怪の移動で得られるヨーカが\n{0}%減少する,おでかけ結果で\n得られるヨーカが\n減少する
52,18,1,おでかけ嫌い,ヒョーイ時間が{0}％短くなる,ヒョーイ時間が\n短くなる
53,18,2,おでかけ嫌い,ヒョーイ時間が{0}％短くなる,ヒョーイ時間が\n短くなる
54,18,3,おでかけ嫌い,ヒョーイ時間が{0}％短くなる,ヒョーイ時間が\n短くなる
55,19,1,平和,他のプレイヤーから\nおでかけバトルを挑まれない,他プレイヤーから\nおでかけバトルを\n挑まれない
56,20,1,全力,バトルのとき　全ステータスを\n{0}％増加する,バトルのとき\n全ステータスを\n増加する
57,20,2,全力,バトルのとき　全ステータスを\n{0}％増加する,バトルのとき\n全ステータスを\n増加する
58,20,3,全力,バトルのとき　全ステータスを\n{0}％増加する,バトルのとき\n全ステータスを\n増加する
59,21,1,奮闘,バトルのとき　全ステータスを\n{0}増加する,バトルのとき\n全ステータスを\n増加する
60,21,2,奮闘,バトルのとき　全ステータスを\n{0}増加する,バトルのとき\n全ステータスを\n増加する
61,21,3,奮闘,バトルのとき　全ステータスを\n{0}増加する,バトルのとき\n全ステータスを\n増加する
62,22,1,全力(力),バトルのとき「ちから」を\n{0}%増加する,バトルのとき\n「ちから」を\n増加する
63,22,2,全力(力),バトルのとき「ちから」を\n{0}%増加する,バトルのとき\n「ちから」を\n増加する
64,22,3,全力(力),バトルのとき「ちから」を\n{0}%増加する,バトルのとき\n「ちから」を\n増加する
65,23,1,奮闘(力),バトルのとき「ちから」を\n{0}増加する,バトルのとき\n「ちから」を\n増加する
66,23,2,奮闘(力),バトルのとき「ちから」を\n{0}増加する,バトルのとき\n「ちから」を\n増加する
67,23,3,奮闘(力),バトルのとき「ちから」を\n{0}増加する,バトルのとき\n「ちから」を\n増加する
68,24,1,全力(妖),バトルのとき「ようりょく」を\n{0}%増加する,バトルのとき\n「ようりょく」を\n増加する
69,24,2,全力(妖),バトルのとき「ようりょく」を\n{0}%増加する,バトルのとき\n「ようりょく」を\n増加する
70,24,3,全力(妖),バトルのとき「ようりょく」を\n{0}%増加する,バトルのとき\n「ようりょく」を\n増加する
71,25,1,奮闘(妖),バトルのとき「ようりょく」を\n{0}増加する,バトルのとき\n「ようりょく」を\n増加する
72,25,2,奮闘(妖),バトルのとき「ようりょく」を\n{0}増加する,バトルのとき\n「ようりょく」を\n増加する
73,25,3,奮闘(妖),バトルのとき「ようりょく」を\n{0}増加する,バトルのとき\n「ようりょく」を\n増加する
74,26,1,全力(守),バトルのとき「まもり」を\n{0}%増加する,バトルのとき\n「まもり」を\n増加する
75,26,2,全力(守),バトルのとき「まもり」を\n{0}%増加する,バトルのとき\n「まもり」を\n増加する
76,26,3,全力(守),バトルのとき「まもり」を\n{0}%増加する,バトルのとき\n「まもり」を\n増加する
77,27,1,奮闘(守),バトルのとき「まもり」を\n{0}増加する,バトルのとき\n「まもり」を\n増加する
78,27,2,奮闘(守),バトルのとき「まもり」を\n{0}増加する,バトルのとき\n「まもり」を\n増加する
79,27,3,奮闘(守),バトルのとき「まもり」を\n{0}増加する,バトルのとき\n「まもり」を\n増加する
80,28,1,全力(早),バトルのとき「すばやさ」を\n{0}%増加する,バトルのとき\n「すばやさ」を\n増加する
81,28,2,全力(早),バトルのとき「すばやさ」を\n{0}%増加する,バトルのとき\n「すばやさ」を\n増加する
82,28,3,全力(早),バトルのとき「すばやさ」を\n{0}%増加する,バトルのとき\n「すばやさ」を\n増加する
83,29,1,奮闘(早),バトルのとき「すばやさ」を\n{0}増加する,バトルのとき\n「すばやさ」を\n増加する
84,29,2,奮闘(早),バトルのとき「すばやさ」を\n{0}増加する,バトルのとき\n「すばやさ」を\n増加する
85,29,3,奮闘(早),バトルのとき「すばやさ」を\n{0}増加する,バトルのとき\n「すばやさ」を\n増加する
86,30,1,天敵,ボス戦のとき　全ステータスを\n{0}％増加する,ボス戦のとき\n全ステータスを\n増加する
87,30,2,天敵,ボス戦のとき　全ステータスを\n{0}％増加する,ボス戦のとき\n全ステータスを\n増加する
88,30,3,天敵,ボス戦のとき　全ステータスを\n{0}％増加する,ボス戦のとき\n全ステータスを\n増加する
89,31,1,闘志,ボス戦のとき　全ステータスを\n{0}増加する,ボス戦のとき\n全ステータスを\n増加する
90,31,2,闘志,ボス戦のとき　全ステータスを\n{0}増加する,ボス戦のとき\n全ステータスを\n増加する
91,31,3,闘志,ボス戦のとき　全ステータスを\n{0}増加する,ボス戦のとき\n全ステータスを\n増加する
92,32,1,天敵(力),ボス戦のとき「ちから」を\n{0}％増加する,ボス戦のとき\n「ちから」を\n増加する
93,32,2,天敵(力),ボス戦のとき「ちから」を\n{0}％増加する,ボス戦のとき\n「ちから」を\n増加する
94,32,3,天敵(力),ボス戦のとき「ちから」を\n{0}％増加する,ボス戦のとき\n「ちから」を\n増加する
95,33,1,闘志(力),ボス戦のとき「ちから」を\n{0}増加する,ボス戦のとき\n「ちから」を\n増加する
96,33,2,闘志(力),ボス戦のとき「ちから」を\n{0}増加する,ボス戦のとき\n「ちから」を\n増加する
97,33,3,闘志(力),ボス戦のとき「ちから」を\n{0}増加する,ボス戦のとき\n「ちから」を\n増加する
98,34,1,天敵(妖),ボス戦のとき「ようりょく」を\n{0}％増加する,ボス戦のとき\n「ようりょく」を\n増加する
99,34,2,天敵(妖),ボス戦のとき「ようりょく」を\n{0}％増加する,ボス戦のとき\n「ようりょく」を\n増加する
100,34,3,天敵(妖),ボス戦のとき「ようりょく」を\n{0}％増加する,ボス戦のとき\n「ようりょく」を\n増加する
101,35,1,闘志(妖),ボス戦のとき「ようりょく」を\n{0}増加する,ボス戦のとき\n「ようりょく」を\n増加する
102,35,2,闘志(妖),ボス戦のとき「ようりょく」を\n{0}増加する,ボス戦のとき\n「ようりょく」を\n増加する
103,35,3,闘志(妖),ボス戦のとき「ようりょく」を\n{0}増加する,ボス戦のとき\n「ようりょく」を\n増加する
104,36,1,天敵(守),ボス戦のとき「まもり」を\n{0}％増加する,ボス戦のとき\n「まもり」を\n増加する
105,36,2,天敵(守),ボス戦のとき「まもり」を\n{0}％増加する,ボス戦のとき\n「まもり」を\n増加する
106,36,3,天敵(守),ボス戦のとき「まもり」を\n{0}％増加する,ボス戦のとき\n「まもり」を\n増加する
107,37,1,闘志(守),ボス戦のとき「まもり」を\n{0}増加する,ボス戦のとき\n「まもり」を\n増加する
108,37,2,闘志(守),ボス戦のとき「まもり」を\n{0}増加する,ボス戦のとき\n「まもり」を\n増加する
109,37,3,闘志(守),ボス戦のとき「まもり」を\n{0}増加する,ボス戦のとき\n「まもり」を\n増加する
110,38,1,天敵(早),ボス戦のとき「すばやさ」を\n{0}％増加する,ボス戦のとき\n「すばやさ」を\n増加する
111,38,2,天敵(早),ボス戦のとき「すばやさ」を\n{0}％増加する,ボス戦のとき\n「すばやさ」を\n増加する
112,38,3,天敵(早),ボス戦のとき「すばやさ」を\n{0}％増加する,ボス戦のとき\n「すばやさ」を\n増加する
113,39,1,闘志(早),ボス戦のとき「すばやさ」を\n{0}増加する,ボス戦のとき\n「すばやさ」を\n増加する
114,39,2,闘志(早),ボス戦のとき「すばやさ」を\n{0}増加する,ボス戦のとき\n「すばやさ」を\n増加する
115,39,3,闘志(早),ボス戦のとき「すばやさ」を\n{0}増加する,ボス戦のとき\n「すばやさ」を\n増加する
116,40,1,威圧,ボスの全ステータスを\n{0}％減少させる,ボスの\n全ステータスを\n減少させる
117,40,2,威圧,ボスの全ステータスを\n{0}％減少させる,ボスの\n全ステータスを\n減少させる
118,40,3,威圧,ボスの全ステータスを\n{0}％減少させる,ボスの\n全ステータスを\n減少させる
119,41,1,にらむ,ボスの全ステータスを\n{0}減少させる,ボスの\n全ステータスを\n減少させる
120,41,2,にらむ,ボスの全ステータスを\n{0}減少させる,ボスの\n全ステータスを\n減少させる
121,41,3,にらむ,ボスの全ステータスを\n{0}減少させる,ボスの\n全ステータスを\n減少させる
122,42,1,威圧(力),ボスの「ちから」を\n{0}％減少させる,ボスの\n「ちから」を\n減少させる
123,42,2,威圧(力),ボスの「ちから」を\n{0}％減少させる,ボスの\n「ちから」を\n減少させる
124,42,3,威圧(力),ボスの「ちから」を\n{0}％減少させる,ボスの\n「ちから」を\n減少させる
125,43,1,にらむ(力),ボスの「ちから」を\n{0}減少させる,ボスの\n「ちから」を\n減少させる
126,43,2,にらむ(力),ボスの「ちから」を\n{0}減少させる,ボスの\n「ちから」を\n減少させる
127,43,3,にらむ(力),ボスの「ちから」を\n{0}減少させる,ボスの\n「ちから」を\n減少させる
128,44,1,威圧(妖),ボスの「ようりょく」を\n{0}％減少させる,ボスの\n「ようりょく」を\n減少させる
129,44,2,威圧(妖),ボスの「ようりょく」を\n{0}％減少させる,ボスの\n「ようりょく」を\n減少させる
130,44,3,威圧(妖),ボスの「ようりょく」を\n{0}％減少させる,ボスの\n「ようりょく」を\n減少させる
131,45,1,にらむ(妖),ボスの「ようりょく」を\n{0}減少させる,ボスの\n「ようりょく」を\n減少させる
132,45,2,にらむ(妖),ボスの「ようりょく」を\n{0}減少させる,ボスの\n「ようりょく」を\n減少させる
133,45,3,にらむ(妖),ボスの「ようりょく」を\n{0}減少させる,ボスの\n「ようりょく」を\n減少させる
134,46,1,威圧(守),ボスの「まもり」を\n{0}％減少させる,ボスの\n「まもり」を\n減少させる
135,46,2,威圧(守),ボスの「まもり」を\n{0}％減少させる,ボスの\n「まもり」を\n減少させる
136,46,3,威圧(守),ボスの「まもり」を\n{0}％減少させる,ボスの\n「まもり」を\n減少させる
137,47,1,にらむ(守),ボスの「まもり」を\n{0}減少させる,ボスの\n「まもり」を\n減少させる
138,47,2,にらむ(守),ボスの「まもり」を\n{0}減少させる,ボスの\n「まもり」を\n減少させる
139,47,3,にらむ(守),ボスの「まもり」を\n{0}減少させる,ボスの\n「まもり」を\n減少させる
140,48,1,威圧(早),ボスの「すばやさ」を\n{0}％減少させる,ボスの\n「すばやさ」を\n減少させる
141,48,2,威圧(早),ボスの「すばやさ」を\n{0}％減少させる,ボスの\n「すばやさ」を\n減少させる
142,48,3,威圧(早),ボスの「すばやさ」を\n{0}％減少させる,ボスの\n「すばやさ」を\n減少させる
143,49,1,にらむ(早),ボスの「すばやさ」を\n{0}減少させる,ボスの\n「すばやさ」を\n減少させる
144,49,2,にらむ(早),ボスの「すばやさ」を\n{0}減少させる,ボスの\n「すばやさ」を\n減少させる
145,49,3,にらむ(早),ボスの「すばやさ」を\n{0}減少させる,ボスの\n「すばやさ」を\n減少させる
146,50,1,戦利品,バトルで勝利したとき経験値と\nヨーカを{0}%増加する,バトルで勝利した\nとき経験値とヨー\nカを増加する
147,50,2,戦利品,バトルで勝利したとき経験値と\nヨーカを{0}%増加する,バトルで勝利した\nとき経験値とヨー\nカを増加する
148,50,3,戦利品,バトルで勝利したとき経験値と\nヨーカを{0}%増加する,バトルで勝利した\nとき経験値とヨー\nカを増加する
149,51,1,がんばり屋,バトルで勝利したときに得られる\n経験値を{0}%増加する,バトルで\n勝利したとき\n経験値を増加する
150,51,2,がんばり屋,バトルで勝利したときに得られる\n経験値を{0}%増加する,バトルで\n勝利したとき\n経験値を増加する
151,51,3,がんばり屋,バトルで勝利したときに得られる\n経験値を{0}%増加する,バトルで\n勝利したとき\n経験値を増加する
152,52,1,ぶんどる,バトルで勝利したときに得られる\nヨーカを{0}%増加する,バトルで\n勝利したとき\nヨーカを増加する
153,52,2,ぶんどる,バトルで勝利したときに得られる\nヨーカを{0}%増加する,バトルで\n勝利したとき\nヨーカを増加する
154,52,3,ぶんどる,バトルで勝利したときに得られる\nヨーカを{0}%増加する,バトルで\n勝利したとき\nヨーカを増加する
155,53,1,無気力,バトルのとき　自分の全ステータスが\n{0}％減少する,バトルで自分の\n全ステータスが\n減少する
156,53,2,無気力,バトルのとき　自分の全ステータスが\n{0}％減少する,バトルで自分の\n全ステータスが\n減少する
157,53,3,無気力,バトルのとき　自分の全ステータスが\n{0}％減少する,バトルで自分の\n全ステータスが\n減少する
158,54,1,なまける,バトルのとき　自分の全ステータスが\n{0}減少する,バトルで自分の\n全ステータスが\n減少する
159,54,2,なまける,バトルのとき　自分の全ステータスが\n{0}減少する,バトルで自分の\n全ステータスが\n減少する
160,54,3,なまける,バトルのとき　自分の全ステータスが\n{0}減少する,バトルで自分の\n全ステータスが\n減少する
161,55,1,無気力(力),バトルのとき　自分の「ちから」が\n{0}%減少する,バトルで自分の\n「ちから」が\n減少する
162,55,2,無気力(力),バトルのとき　自分の「ちから」が\n{0}%減少する,バトルで自分の\n「ちから」が\n減少する
163,55,3,無気力(力),バトルのとき　自分の「ちから」が\n{0}%減少する,バトルで自分の\n「ちから」が\n減少する
164,56,1,なまける(力),バトルのとき　自分の「ちから」が\n{0}減少する,バトルで自分の\n「ちから」が\n減少する
165,56,2,なまける(力),バトルのとき　自分の「ちから」が\n{0}減少する,バトルで自分の\n「ちから」が\n減少する
166,56,3,なまける(力),バトルのとき　自分の「ちから」が\n{0}減少する,バトルで自分の\n「ちから」が\n減少する
167,57,1,無気力(妖),バトルのとき　自分の「ようりょく」が\n{0}%減少する,バトルで自分の\n「ようりょく」が\n減少する
168,57,2,無気力(妖),バトルのとき　自分の「ようりょく」が\n{0}%減少する,バトルで自分の\n「ようりょく」が\n減少する
169,57,3,無気力(妖),バトルのとき　自分の「ようりょく」が\n{0}%減少する,バトルで自分の\n「ようりょく」が\n減少する
170,58,1,なまける(妖),バトルのとき　自分の「ようりょく」が\n{0}減少する,バトルで自分の\n「ようりょく」が\n減少する
171,58,2,なまける(妖),バトルのとき　自分の「ようりょく」が\n{0}減少する,バトルで自分の\n「ようりょく」が\n減少する
172,58,3,なまける(妖),バトルのとき　自分の「ようりょく」が\n{0}減少する,バトルで自分の\n「ようりょく」が\n減少する
173,59,1,無気力(守),バトルのとき　自分の「まもり」が\n{0}%減少する,バトルで自分の\n「まもり」が\n減少する
174,59,2,無気力(守),バトルのとき　自分の「まもり」が\n{0}%減少する,バトルで自分の\n「まもり」が\n減少する
175,59,3,無気力(守),バトルのとき　自分の「まもり」が\n{0}%減少する,バトルで自分の\n「まもり」が\n減少する
176,60,1,なまける(守),バトルのとき　自分の「まもり」が\n{0}減少する,バトルで自分の\n「まもり」が\n減少する
177,60,2,なまける(守),バトルのとき　自分の「まもり」が\n{0}減少する,バトルで自分の\n「まもり」が\n減少する
178,60,3,なまける(守),バトルのとき　自分の「まもり」が\n{0}減少する,バトルで自分の\n「まもり」が\n減少する
179,61,1,無気力(早),バトルのとき　自分の「すばやさ」が\n{0}%減少する,バトルで自分の\n「すばやさ」が\n減少する
180,61,2,無気力(早),バトルのとき　自分の「すばやさ」が\n{0}%減少する,バトルで自分の\n「すばやさ」が\n減少する
181,61,3,無気力(早),バトルのとき　自分の「すばやさ」が\n{0}%減少する,バトルで自分の\n「すばやさ」が\n減少する
182,62,1,なまける(早),バトルのとき　自分の「すばやさ」が\n{0}減少する,バトルで自分の\n「すばやさ」が\n減少する
183,62,2,なまける(早),バトルのとき　自分の「すばやさ」が\n{0}減少する,バトルで自分の\n「すばやさ」が\n減少する
184,62,3,なまける(早),バトルのとき　自分の「すばやさ」が\n{0}減少する,バトルで自分の\n「すばやさ」が\n減少する
185,63,1,逃げ腰,ボス戦のとき　自分の全ステータスを\n{0}％減少する,ボス戦で自分の\n全ステータスが\n減少する
186,63,2,逃げ腰,ボス戦のとき　自分の全ステータスを\n{0}％減少する,ボス戦で自分の\n全ステータスが\n減少する
187,63,3,逃げ腰,ボス戦のとき　自分の全ステータスを\n{0}％減少する,ボス戦で自分の\n全ステータスが\n減少する
188,64,1,びびり,ボス戦のとき　自分の全ステータスを\n{0}減少する,ボス戦で自分の\n全ステータスが\n減少する
189,64,2,びびり,ボス戦のとき　自分の全ステータスを\n{0}減少する,ボス戦で自分の\n全ステータスが\n減少する
190,64,3,びびり,ボス戦のとき　自分の全ステータスを\n{0}減少する,ボス戦で自分の\n全ステータスが\n減少する
191,65,1,逃げ腰(力),ボス戦のとき　自分の「ちから」が\n{0}%減少する,ボス戦で自分の\n「ちから」が\n減少する
192,65,2,逃げ腰(力),ボス戦のとき　自分の「ちから」が\n{0}%減少する,ボス戦で自分の\n「ちから」が\n減少する
193,65,3,逃げ腰(力),ボス戦のとき　自分の「ちから」が\n{0}%減少する,ボス戦で自分の\n「ちから」が\n減少する
194,66,1,びびり(力),ボス戦のとき　自分の「ちから」が\n{0}減少する,ボス戦で自分の\n「ちから」が\n減少する
195,66,2,びびり(力),ボス戦のとき　自分の「ちから」が\n{0}減少する,ボス戦で自分の\n「ちから」が\n減少する
196,66,3,びびり(力),ボス戦のとき　自分の「ちから」が\n{0}減少する,ボス戦で自分の\n「ちから」が\n減少する
197,67,1,逃げ腰(妖),ボス戦のとき　自分の「ようりょく」が\n{0}%減少する,ボス戦で自分の\n「ようりょく」が\n減少する
198,67,2,逃げ腰(妖),ボス戦のとき　自分の「ようりょく」が\n{0}%減少する,ボス戦で自分の\n「ようりょく」が\n減少する
199,67,3,逃げ腰(妖),ボス戦のとき　自分の「ようりょく」が\n{0}%減少する,ボス戦で自分の\n「ようりょく」が\n減少する
200,68,1,びびり(妖),ボス戦のとき　自分の「ようりょく」が\n{0}減少する,ボス戦で自分の\n「ようりょく」が\n減少する
201,68,2,びびり(妖),ボス戦のとき　自分の「ようりょく」が\n{0}減少する,ボス戦で自分の\n「ようりょく」が\n減少する
202,68,3,びびり(妖),ボス戦のとき　自分の「ようりょく」が\n{0}減少する,ボス戦で自分の\n「ようりょく」が\n減少する
203,69,1,逃げ腰(守),ボス戦のとき　自分の「まもり」が\n{0}%減少する,ボス戦で自分の\n「まもり」が\n減少する
204,69,2,逃げ腰(守),ボス戦のとき　自分の「まもり」が\n{0}%減少する,ボス戦で自分の\n「まもり」が\n減少する
205,69,3,逃げ腰(守),ボス戦のとき　自分の「まもり」が\n{0}%減少する,ボス戦で自分の\n「まもり」が\n減少する
206,70,1,びびり(守),ボス戦のとき　自分の「まもり」が\n{0}減少する,ボス戦で自分の\n「まもり」が\n減少する
207,70,2,びびり(守),ボス戦のとき　自分の「まもり」が\n{0}減少する,ボス戦で自分の\n「まもり」が\n減少する
208,70,3,びびり(守),ボス戦のとき　自分の「まもり」が\n{0}減少する,ボス戦で自分の\n「まもり」が\n減少する
209,71,1,逃げ腰(早),ボス戦のとき　自分の「すばやさ」が\n{0}%減少する,ボス戦で自分の\n「すばやさ」が\n減少する
210,71,2,逃げ腰(早),ボス戦のとき　自分の「すばやさ」が\n{0}%減少する,ボス戦で自分の\n「すばやさ」が\n減少する
211,71,3,逃げ腰(早),ボス戦のとき　自分の「すばやさ」が\n{0}%減少する,ボス戦で自分の\n「すばやさ」が\n減少する
212,72,1,びびり(早),ボス戦のとき　自分の「すばやさ」が\n{0}減少する,ボス戦で自分の\n「すばやさ」が\n減少する
213,72,2,びびり(早),ボス戦のとき　自分の「すばやさ」が\n{0}減少する,ボス戦で自分の\n「すばやさ」が\n減少する
214,72,3,びびり(早),ボス戦のとき　自分の「すばやさ」が\n{0}減少する,ボス戦で自分の\n「すばやさ」が\n減少する
215,73,1,いいかげん,バトルで勝利したとき経験値と\nヨーカが{0}%減少する,バトルで勝利した\nとき経験値とヨー\nカが減少する
216,73,2,いいかげん,バトルで勝利したとき経験値と\nヨーカが{0}%減少する,バトルで勝利した\nとき経験値とヨー\nカが減少する
217,73,3,いいかげん,バトルで勝利したとき経験値と\nヨーカが{0}%減少する,バトルで勝利した\nとき経験値とヨー\nカが減少する
218,74,1,手抜き,バトルで勝利したときに得られる\n経験値が{0}%減少する,バトルで\n勝利したとき\n経験値が減少する
219,74,2,手抜き,バトルで勝利したときに得られる\n経験値が{0}%減少する,バトルで\n勝利したとき\n経験値が減少する
220,74,3,手抜き,バトルで勝利したときに得られる\n経験値が{0}%減少する,バトルで\n勝利したとき\n経験値が減少する
221,75,1,取りこぼし,バトルで勝利したときに得られる\nヨーカが{0}%減少する,バトルで\n勝利したとき\nヨーカが減少する
222,75,2,取りこぼし,バトルで勝利したときに得られる\nヨーカが{0}%減少する,バトルで\n勝利したとき\nヨーカが減少する
223,75,3,取りこぼし,バトルで勝利したときに得られる\nヨーカが{0}%減少する,バトルで\n勝利したとき\nヨーカが減少する
