type,level,exp
2,48,96215
2,49,102354
2,50,108750
2,51,115406
2,52,122328
2,53,129522
2,54,136993
2,55,144746
2,56,152785
2,57,161117
2,58,169747
2,59,178679
2,60,187920
2,61,197473
2,62,207345
2,63,217540
2,64,228065
2,65,238923
2,66,250121
2,67,261663
2,68,273555
2,69,285802
2,70,298410
2,71,311382
2,72,324725
2,73,338444
2,74,352544
2,75,367031
2,76,381909
2,77,397183
2,78,412860
2,79,428943
2,80,445440
2,81,462353
2,82,479690
2,83,497454
2,84,515652
2,85,534288
2,86,553368
2,87,572897
2,88,592880
2,89,613323
2,90,634230
2,91,655606
2,92,677458
2,93,699790
2,94,722608
2,95,745916
2,96,769720
2,97,794025
2,98,818837
2,99,844160
3,1,0
3,2,7
3,3,25
3,4,60
3,5,117
3,6,203
3,7,322
3,8,481
3,9,685
3,10,940
3,11,1251
3,12,1624
3,13,2065
3,14,2579
3,15,3172
3,16,3850
3,17,4618
3,18,5482
3,19,6447
3,20,7520
3,21,8705
3,22,10009
3,23,11436
3,24,12994
3,25,14687
3,26,16521
3,27,18502
3,28,20634
3,29,22925
3,30,25380
3,31,28003
3,32,30801
3,33,33780
3,34,36945
3,35,40302
3,36,43856
3,37,47613
3,38,51579
3,39,55759
3,40,60160
3,41,64785
3,42,69642
3,43,74736
3,44,80072
3,45,85657
3,46,91495
3,47,97593
3,48,103956
3,49,110590
3,50,117500
3,51,124691
3,52,132171
3,53,139944
3,54,148016
3,55,156392
3,56,165079
3,57,174081
3,58,183405
3,59,193056
3,60,203040
3,61,213362
3,62,224028
3,63,235044
3,64,246415
3,65,258147
3,66,270246
3,67,282717
3,68,295566
3,69,308798
3,70,322420
3,71,336436
3,72,350853
3,73,365675
3,74,380910
3,75,396562
3,76,412637
3,77,429141
3,78,446078
3,79,463456
3,80,481280
3,81,499554
3,82,518285
3,83,537479
3,84,557141
3,85,577277
3,86,597892
3,87,618992
3,88,640583
3,89,662670
3,90,685260
3,91,708356
3,92,731966
3,93,756095
3,94,780748
3,95,805932
3,96,831651
3,97,857912
3,98,884720
3,99,912081
4,1,0
4,2,8
4,3,27
4,4,64
4,5,125
4,6,216
4,7,343
4,8,512
4,9,729
4,10,1000
4,11,1331
4,12,1728
4,13,2197
4,14,2744
4,15,3375
4,16,4096
4,17,4913
4,18,5832
4,19,6859
4,20,8000
4,21,9261
4,22,10648
4,23,12167
4,24,13824
4,25,15625
4,26,17576
4,27,19683
4,28,21952
4,29,24389
4,30,27000
4,31,29791
4,32,32768
4,33,35937
4,34,39304
4,35,42875
4,36,46656
4,37,50653
4,38,54872
4,39,59319
4,40,64000
4,41,68921
4,42,74088
4,43,79507
4,44,85184
4,45,91125
4,46,97336
4,47,103823
4,48,110592
4,49,117649
4,50,125000
4,51,132651
4,52,140608
4,53,148877
4,54,157464
4,55,166375
4,56,175616
4,57,185193
4,58,195112
4,59,205379
4,60,216000
4,61,226981
4,62,238328
4,63,250047
4,64,262144
4,65,274625
4,66,287496
4,67,300763
4,68,314432
4,69,328509
4,70,343000
4,71,357911
4,72,373248
4,73,389017
4,74,405224
4,75,421875
4,76,438976
4,77,456533
4,78,474552
4,79,493039
4,80,512000
4,81,531441
4,82,551368
4,83,571787
4,84,592704
4,85,614125
4,86,636056
4,87,658503
4,88,681472
4,89,704969
4,90,729000
4,91,753571
4,92,778688
4,93,804357
4,94,830584
4,95,857375
4,96,884736
4,97,912673
4,98,941192
4,99,970299
5,1,0
5,2,8
5,3,28
5,4,67
5,5,132
5,6,228
5,7,363
5,8,542
5,9,772
5,10,1060
5,11,1410
5,12,1831
5,13,2328
5,14,2908
5,15,3577
5,16,4341
5,17,5207
5,18,6181
5,19,7270
5,20,8480
5,21,9816
5,22,11286
5,23,12897
5,24,14653
5,25,16562
5,26,18630
5,27,20863
5,28,23269
5,29,25852
5,30,28620
5,31,31578
5,32,34734
5,33,38093
5,34,41662
5,35,45447
5,36,49455
5,37,53692
5,38,58164
5,39,62878
5,40,67840
5,41,73056
5,42,78533
5,43,84277
5,44,90295
5,45,96592
5,46,103176
5,47,110052
5,48,117227
5,49,124707
5,50,132500
5,51,140610
5,52,149044
5,53,157809
5,54,166911
5,55,176357
5,56,186152
5,57,196304
5,58,206818
5,59,217701
5,60,228960
5,61,240599
5,62,252627
5,63,265049
5,64,277872
5,65,291102
5,66,304745
5,67,318808
5,68,333297
5,69,348219
5,70,363580
5,71,379385
5,72,395642
5,73,412358
5,74,429537
5,75,447187
5,76,465314
5,77,483924
5,78,503025
5,79,522621
5,80,542720
5,81,563327
5,82,584450
5,83,606094
5,84,628266
5,85,650972
5,86,674219
5,87,698013
5,88,722360
5,89,747267
5,90,772740
5,91,798785
5,92,825409
5,93,852618
5,94,880419
5,95,908817
5,96,937820
5,97,967433
5,98,997663
5,99,1028516
6,1,0
6,2,9
6,3,30
6,4,72
6,5,141
6,6,244
6,7,387
6,8,578
6,9,823
6,10,1130
6,11,1504
6,12,1952
6,13,2482
6,14,3100
6,15,3813
6,16,4628
6,17,5551
6,18,6590
6,19,7750
6,20,9040
6,21,10464
6,22,12032
6,23,13748
6,24,15621
6,25,17656
6,26,19860
6,27,22241
6,28,24805
6,29,27559
6,30,30510
6,31,33663
6,32,37027
6,33,40608
6,34,44413
6,35,48448
6,36,52721
6,37,57237
6,38,62005
6,39,67030
6,40,72320
6,41,77880
6,42,83719
6,43,89842
6,44,96257
6,45,102971
6,46,109989
6,47,117319
6,48,124968
6,49,132943
6,50,141250
6,51,149895
6,52,158887
6,53,168231
6,54,177934
6,55,188003
6,56,198446
6,57,209268
6,58,220476
6,59,232078
6,60,244080
6,61,256488
6,62,269310
6,63,282553
6,64,296222
6,65,310326
6,66,324870
6,67,339862
6,68,355308
6,69,371215
6,70,387590
6,71,404439
6,72,421770
6,73,439589
6,74,457903
6,75,476718
6,76,496042
6,77,515882
6,78,536243
6,79,557134
6,80,578560
6,81,600528
6,82,623045
6,83,646119
6,84,669755
6,85,693961
6,86,718743
6,87,744108
6,88,770063
6,89,796614
6,90,823770
6,91,851535
6,92,879917
6,93,908923
6,94,938559
6,95,968833
6,96,999751
6,97,1031320
6,98,1063546
6,99,1096437
7,1,0
7,2,9
7,3,32
7,4,76
7,5,150
7,6,259
7,7,411
7,8,614
7,9,874
7,10,1200
7,11,1597
7,12,2073
7,13,2636
7,14,3292
7,15,4050
7,16,4915
7,17,5895
7,18,6998
7,19,8230
7,20,9600
7,21,11113
7,22,12777
7,23,14600
7,24,16588
7,25,18750
7,26,21091
7,27,23619
7,28,26342
7,29,29266
7,30,32400
7,31,35749
7,32,39321
7,33,43124
7,34,47164
7,35,51450
7,36,55987
7,37,60783
7,38,65846
7,39,71182
7,40,76800
7,41,82705
7,42,88905
7,43,95408
7,44,102220
7,45,109350
7,46,116803
7,47,124587
7,48,132710
7,49,141178
7,50,150000
7,51,159181
7,52,168729
7,53,178652
7,54,188956
7,55,199650
7,56,210739
7,57,222231
7,58,234134
7,59,246454
7,60,259200
7,61,272377
7,62,285993
7,63,300056
7,64,314572
7,65,329550
7,66,344995
7,67,360915
7,68,377318
7,69,394210
7,70,411600
7,71,429493
7,72,447897
7,73,466820
7,74,486268
7,75,506250
7,76,526771
7,77,547839
7,78,569462
7,79,591646
7,80,614400
7,81,637729
7,82,661641
7,83,686144
7,84,711244
7,85,736950
7,86,763267
7,87,790203
7,88,817766
7,89,845962
7,90,874800
7,91,904285
7,92,934425
7,93,965228
7,94,996700
7,95,1028850
7,96,1061683
7,97,1095207
7,98,1129430
7,99,1164358
